PLAYER_ID,PLAYER_NAME,SEASON,PRIMARY_SCORE,CONFIDENCE,USE_PROXY,RANK
2199,Tyson Chandler,2016-17,4.1,0.7999999999999999,False,1
201587,Nicolas Batum,2021-22,3.9977281105990783,0.7999999999999999,False,2
203512,Lucas Nogueira,2016-17,3.9884,0.7999999999999999,False,3
1627780,Gary Payton II,2021-22,3.97,0.7999999999999999,False,4
1626257,Salah Mejri,2017-18,3.963,0.7999999999999999,False,5
203493,Reggie Bullock Jr.,2018-19,3.9554865424430647,0.7999999999999999,False,6
1629637,Jaxson Hayes,2024-25,3.9528000000000003,0.7999999999999999,False,7
1629048,Goga Bitadze,2024-25,3.9491428571428573,0.7999999999999999,False,8
1631218,Trayce Jackson-Davis,2023-24,3.9416,0.7999999999999999,False,9
1627748,Thon Maker,2017-18,3.94,0.7999999999999999,False,10
1628449,Chris Boucher,2023-24,3.9372000000000003,0.7999999999999999,False,11
203920,Khem Birch,2017-18,3.9360000000000004,0.7999999999999999,False,12
1626169,Stanley Johnson,2021-22,3.925899197431782,0.7999999999999999,False,13
1629312,Haywood Highsmith,2023-24,3.923149783549784,0.7999999999999999,False,14
1629676,Isaiah Roby,2021-22,3.9230967032967032,0.7999999999999999,False,15
1628401,Derrick White,2024-25,3.912082857142857,0.7999999999999999,False,16
204060,Joe Ingles,2018-19,3.9093481481481485,0.7999999999999999,False,17
1629028,Deandre Ayton,2021-22,3.9092,0.7999999999999999,False,18
1628380,Zach Collins,2024-25,3.9075428571428574,0.7999999999999999,False,19
1627734,Domantas Sabonis,2024-25,3.906707916287534,0.7999999999999999,False,20
1626172,Kevon Looney,2020-21,3.9060285714285716,0.7999999999999999,False,21
203486,Mason Plumlee,2021-22,3.903857915057915,0.7999999999999999,False,22
2585,Zaza Pachulia,2018-19,3.897118367346939,0.7999999999999999,False,23
101123,Gerald Green,2017-18,3.8899703989703993,0.7999999999999999,False,24
203200,Justin Holiday,2022-23,3.8894021164021164,0.7999999999999999,False,25
1629056,Terence Davis,2022-23,3.887962659123055,0.7999999999999999,False,26
201143,Al Horford,2018-19,3.887044217687075,0.7999999999999999,False,27
201599,DeAndre Jordan,2020-21,3.8852666666666673,0.7999999999999999,False,28
203090,Maurice Harkless,2020-21,3.8810341013824887,0.7999999999999999,False,29
1628449,Chris Boucher,2024-25,3.879514285714286,0.7999999999999999,False,30
1628379,Luke Kennard,2021-22,3.879022900763359,0.7999999999999999,False,31
1626209,Mario Hezonja,2015-16,3.874401068090788,0.7999999999999999,False,32
1891,Jason Terry,2017-18,3.87247012987013,0.7999999999999999,False,33
201588,George Hill,2018-19,3.872237037037037,0.7999999999999999,False,34
1627763,Malcolm Brogdon,2022-23,3.870701996927804,0.7999999999999999,False,35
201145,Jeff Green,2016-17,3.864712315270936,0.7999999999999999,False,36
1627763,Malcolm Brogdon,2018-19,3.8636184331797234,0.7999999999999999,False,37
203110,Draymond Green,2021-22,3.8602406692406697,0.7999999999999999,False,38
1627823,Juancho Hernangomez,2020-21,3.860114285714286,0.7999999999999999,False,39
203107,Tomas Satoransky,2019-20,3.8569340782122907,0.7999999999999999,False,40
1629216,Gabe Vincent,2022-23,3.8508932566315117,0.7999999999999999,False,41
1630559,Austin Reaves,2022-23,3.8505391003460203,0.7999999999999999,False,42
1629659,Talen Horton-Tucker,2020-21,3.848791836734694,0.7999999999999999,False,43
203939,Dwight Powell,2017-18,3.845428571428571,0.7999999999999999,False,44
2772,Trevor Ariza,2017-18,3.8443631103074143,0.7999999999999999,False,45
204060,Joe Ingles,2016-17,3.8403262092238473,0.7999999999999999,False,46
1626220,Royce O'Neale,2023-24,3.840325423728814,0.7999999999999999,False,47
1627826,Ivica Zubac,2022-23,3.838285714285714,0.7999999999999999,False,48
201577,Robin Lopez,2015-16,3.8352,0.7999999999999999,False,49
1627741,Buddy Hield,2023-24,3.8324802065404473,0.7999999999999999,False,50
1641706,Brandon Miller,2023-24,3.8300806987883913,0.7999999999999999,False,51
2564,Boris Diaw,2016-17,3.8253472527472527,0.7999999999999999,False,52
1626220,Royce O'Neale,2020-21,3.8250476190476195,0.7999999999999999,False,53
1629661,Cameron Johnson,2021-22,3.8247248677248677,0.7999999999999999,False,54
1631109,Mark Williams,2022-23,3.8243428571428573,0.7999999999999999,False,55
1628420,Monte Morris,2020-21,3.8200299631600494,0.7999999999999999,False,56
203500,Steven Adams,2022-23,3.819069387755102,0.7999999999999999,False,57
200752,Rudy Gay,2019-20,3.815075630252101,0.7999999999999999,False,58
2207,Joe Johnson,2016-17,3.807787841945289,0.7999999999999999,False,59
200765,Rajon Rondo,2017-18,3.8070264550264548,0.7999999999999999,False,60
1627734,Domantas Sabonis,2018-19,3.8063885714285712,0.7999999999999999,False,61
202694,Marcus Morris Sr.,2018-19,3.803024175824176,0.7999999999999999,False,62
203932,Aaron Gordon,2019-20,3.8010540788969744,0.7999999999999999,False,63
1629672,Eric Paschall,2020-21,3.799618992568125,0.7999999999999999,False,64
1627783,Pascal Siakam,2017-18,3.798827067669173,0.7999999999999999,False,65
1629308,Juan Toscano-Anderson,2022-23,3.797945054945055,0.7999999999999999,False,66
1628404,Josh Hart,2023-24,3.796904214559387,0.7999999999999999,False,67
202685,Jonas Valančiūnas,2015-16,3.7959714285714288,0.7999999999999999,False,68
1626196,Josh Richardson,2020-21,3.793838038884193,0.7999999999999999,False,69
1631200,Kris Murray,2024-25,3.793734920634921,0.7999999999999999,False,70
203924,Jerami Grant,2019-20,3.793412958626074,0.7999999999999999,False,71
