player_name,season,cii,tii,cii_archetype,tii_archetype,archetype_2d,career_leverage_mean,career_positive_seasons,career_negative_seasons,career_pattern,has_creation_tools,reasoning,cii_components,tii_components,confidence
Aaron Gordon,2021-22,22.45,49.27,Role Player,Limited Scaling,Role Player,-0.061999999999999944,0,7,Hides,False,"Low CII 22.4, low TII 49.3, no creation tools","{'self_created': np.float64(22.79), 'pressure_appetite': np.float64(12.67), 'difficulty_embrace': np.float64(17.7), 'defensive_survival': np.float64(40.76), 'force_multiplication': np.float64(27.87)}","{'scaling_efficiency': np.float64(51.76497296517914), 'pressure_appetite': np.float64(8.800000000000004), 'creation_tools': np.float64(49.62502304919956), 'opportunity_response': np.float64(91.88857142857142), 'age_trajectory': np.float64(78.33)}",High
Aaron Wiggins,2021-22,17.67,40.43,Role Player,Limited Scaling,Role Player,-0.0199999999999999,0,1,Mixed,False,"Low CII 17.7, low TII 40.4","{'self_created': np.float64(11.68), 'pressure_appetite': np.float64(21.78), 'difficulty_embrace': np.float64(4.07), 'defensive_survival': np.float64(41.91), 'force_multiplication': np.float64(16.16)}","{'scaling_efficiency': np.float64(14.531949846522037), 'pressure_appetite': np.float64(56.917225950783035), 'creation_tools': np.float64(18.394535384951165), 'opportunity_response': np.float64(57.74285714285714), 'age_trajectory': np.float64(95.0)}",Medium
Al Horford,2021-22,9.82,29.89,Role Player,Low Scaling,Role Player,-0.0345,0,6,Hides,False,"Low CII 9.8, low TII 29.9, no creation tools","{'self_created': np.float64(3.46), 'pressure_appetite': np.float64(10.5), 'difficulty_embrace': np.float64(8.09), 'defensive_survival': np.float64(25.22), 'force_multiplication': np.float64(7.53)}","{'scaling_efficiency': np.float64(15.690794412120846), 'pressure_appetite': np.float64(22.400000000000002), 'creation_tools': np.float64(33.94576074332172), 'opportunity_response': np.float64(71.94285714285715), 'age_trajectory': np.int64(20)}",High
Alec Burks,2021-22,33.85,62.15,Role Player,Moderate Scaling,Strong Creator,0.03414285714285713,6,1,Steps Up,False,"Positive career leverage (+0.034), CII 33.9 still developing (Age 30 > 25, reclassified from Developing Engine)","{'self_created': np.float64(31.02), 'pressure_appetite': np.float64(43.04), 'difficulty_embrace': np.float64(28.54), 'defensive_survival': np.float64(35.36), 'force_multiplication': np.float64(27.68)}","{'scaling_efficiency': np.float64(60.12325321975458), 'pressure_appetite': np.float64(60.61052631578945), 'creation_tools': np.float64(74.50587647981743), 'opportunity_response': np.float64(61.51428571428572), 'age_trajectory': np.float64(48.34)}",High
Aleksej Pokusevski,2021-22,24.97,43.56,Role Player,Limited Scaling,Role Player,0.0479999999999999,2,0,Steps Up,False,"Low CII 25.0, low TII 43.6","{'self_created': np.float64(9.07), 'pressure_appetite': np.float64(45.58), 'difficulty_embrace': np.float64(12.34), 'defensive_survival': np.float64(43.94), 'force_multiplication': np.float64(17.98)}","{'scaling_efficiency': np.float64(7.768134394341288), 'pressure_appetite': np.float64(67.07692307692304), 'creation_tools': np.float64(36.060214717531785), 'opportunity_response': np.float64(48.31428571428572), 'age_trajectory': np.int64(100)}",Medium
Alex Len,2021-22,8.14,20.99,Role Player,Low Scaling,Role Player,-0.06683333333333334,1,5,Hides,False,"Low CII 8.1, low TII 21.0, no creation tools","{'self_created': np.float64(1.77), 'pressure_appetite': np.float64(10.0), 'difficulty_embrace': np.float64(2.1), 'defensive_survival': np.float64(27.45), 'force_multiplication': np.float64(5.71)}","{'scaling_efficiency': np.float64(13.343422869175129), 'pressure_appetite': np.float64(0.0), 'creation_tools': np.float64(11.146316826804632), 'opportunity_response': np.float64(60.628571428571426), 'age_trajectory': np.float64(56.67)}",High
Alperen Sengun,2021-22,17.57,28.71,Role Player,Low Scaling,Role Player,-0.0839999999999999,0,1,Hides,False,"Low CII 17.6, low TII 28.7","{'self_created': np.float64(24.65), 'pressure_appetite': np.float64(15.0), 'difficulty_embrace': np.float64(3.77), 'defensive_survival': np.float64(12.03), 'force_multiplication': np.float64(38.66)}","{'scaling_efficiency': np.float64(16.538711122337297), 'pressure_appetite': np.float64(6.400000000000046), 'creation_tools': np.float64(19.66874477623281), 'opportunity_response': np.float64(54.74285714285714), 'age_trajectory': np.int64(100)}",Medium
Amir Coffey,2021-22,18.15,48.44,Role Player,Limited Scaling,Role Player,-0.0169999999999999,0,1,Mixed,False,"Low CII 18.1, low TII 48.4","{'self_created': np.float64(11.25), 'pressure_appetite': np.float64(24.54), 'difficulty_embrace': np.float64(10.83), 'defensive_survival': np.float64(34.27), 'force_multiplication': np.float64(13.34)}","{'scaling_efficiency': np.float64(32.19427265072844), 'pressure_appetite': np.float64(46.34632034632038), 'creation_tools': np.float64(36.56655580192165), 'opportunity_response': np.float64(75.90285714285714), 'age_trajectory': np.float64(85.0)}",Medium
Andrew Wiggins,2021-22,26.93,47.05,Role Player,Limited Scaling,Luxury Amplifier,-0.0112857142857143,3,4,Mixed,True,"Negative career leverage (-0.011, 3+/4-) BUT has creation tools: Thrives as #2","{'self_created': np.float64(28.55), 'pressure_appetite': np.float64(20.5), 'difficulty_embrace': np.float64(29.76), 'defensive_survival': np.float64(33.0), 'force_multiplication': np.float64(23.39)}","{'scaling_efficiency': np.float64(40.0305860805861), 'pressure_appetite': np.float64(15.600000000000001), 'creation_tools': np.float64(66.37947154471544), 'opportunity_response': np.float64(71.34285714285714), 'age_trajectory': np.float64(71.66)}",High
Anfernee Simons,2021-22,59.36,76.12,Luxury Amplifier,High Scaling,Latent Engine,0.018,1,0,Steps Up,True,"Medium CII 59.4, high TII 76.1, has tools","{'self_created': np.float64(68.2), 'pressure_appetite': np.float64(56.43), 'difficulty_embrace': np.float64(56.79), 'defensive_survival': np.float64(67.34), 'force_multiplication': np.float64(33.34)}","{'scaling_efficiency': np.float64(69.13998351375402), 'pressure_appetite': np.float64(70.02622950819672), 'creation_tools': np.float64(82.36666666666667), 'opportunity_response': np.float64(79.31428571428572), 'age_trajectory': np.float64(95.0)}",Medium
