player_name,season,cii,tii,cii_archetype,tii_archetype,archetype_2d,career_leverage_mean,career_positive_seasons,career_negative_seasons,career_pattern,has_creation_tools,reasoning,cii_components,tii_components,confidence
Aaron Gordon,2019-20,28.8,44.78,Role Player,Limited Scaling,Fragile Star,-0.056399999999999936,0,5,Hides,True,"Fragile Star: high minutes (32.5), low CII (28.8), extreme hiding (-0.056)","{'self_created': np.float64(24.53), 'pressure_appetite': np.float64(23.21), 'difficulty_embrace': np.float64(25.74), 'defensive_survival': np.float64(47.29), 'force_multiplication': np.float64(33.98)}","{'scaling_efficiency': np.float64(30.545308100861142), 'pressure_appetite': np.float64(23.20000000000004), 'creation_tools': np.float64(59.9579912750347), 'opportunity_response': np.float64(58.85714285714286), 'age_trajectory': np.float64(90.0)}",High
Alec Burks,2019-20,51.64,68.86,Fragile Star,High Scaling,Strong Creator,0.02940000000000002,4,1,Steps Up,True,"Positive career leverage (+0.029), CII 51.6: Stepping up consistently","{'self_created': np.float64(44.66), 'pressure_appetite': np.float64(63.34), 'difficulty_embrace': np.float64(41.64), 'defensive_survival': np.float64(61.54), 'force_multiplication': np.float64(48.51)}","{'scaling_efficiency': np.float64(60.23911297363367), 'pressure_appetite': np.float64(73.19130434782609), 'creation_tools': np.float64(79.86666666666667), 'opportunity_response': np.float64(66.8), 'age_trajectory': np.float64(64.99000000000001)}",High
Alex Caruso,2019-20,12.79,33.81,Role Player,Low Scaling,Role Player,-0.048,0,2,Hides,False,"Low CII 12.8, low TII 33.8","{'self_created': np.float64(12.51), 'pressure_appetite': np.float64(10.0), 'difficulty_embrace': np.float64(9.43), 'defensive_survival': np.float64(26.29), 'force_multiplication': np.float64(7.07)}","{'scaling_efficiency': np.float64(23.982838730998022), 'pressure_appetite': np.float64(18.000000000000004), 'creation_tools': np.float64(36.32173601147775), 'opportunity_response': np.float64(46.77142857142857), 'age_trajectory': np.float64(78.33)}",Medium
Alex Len,2019-20,23.18,42.54,Role Player,Limited Scaling,Role Player,-0.05900000000000001,1,4,Hides,False,"Low CII 23.2, low TII 42.5, no creation tools","{'self_created': np.float64(5.69), 'pressure_appetite': np.float64(60.17), 'difficulty_embrace': np.float64(0.9), 'defensive_survival': np.float64(28.22), 'force_multiplication': np.float64(20.18)}","{'scaling_efficiency': np.float64(15.291464293282473), 'pressure_appetite': np.float64(72.11363636363637), 'creation_tools': np.float64(10.46008869179601), 'opportunity_response': np.float64(71.09428571428572), 'age_trajectory': np.float64(71.66)}",High
Andre Drummond,2019-20,24.86,32.9,Role Player,Low Scaling,Fragile Star,-0.037999999999999964,0,5,Hides,False,"Fragile Star: high usage (25.3%), high minutes (33.0), low CII (24.9), no creation tools","{'self_created': np.float64(19.22), 'pressure_appetite': np.float64(28.69), 'difficulty_embrace': np.float64(3.89), 'defensive_survival': np.float64(37.17), 'force_multiplication': np.float64(55.72)}","{'scaling_efficiency': np.float64(16.974582850989375), 'pressure_appetite': np.float64(18.400000000000038), 'creation_tools': np.float64(22.682420707606287), 'opportunity_response': np.float64(72.28571428571428), 'age_trajectory': np.float64(78.33)}",High
Andre Iguodala,2019-20,10.06,28.34,Role Player,Low Scaling,Luxury Amplifier,-0.0368,1,4,Hides,True,"Negative career leverage (-0.037, 1+/4-) BUT has creation tools: Thrives as #2","{'self_created': np.float64(4.74), 'pressure_appetite': np.float64(10.0), 'difficulty_embrace': np.float64(14.17), 'defensive_survival': np.float64(20.09), 'force_multiplication': np.float64(2.95)}","{'scaling_efficiency': np.float64(16.66880057491915), 'pressure_appetite': np.float64(23.600000000000037), 'creation_tools': np.float64(41.16739568635356), 'opportunity_response': np.float64(48.05714285714285), 'age_trajectory': np.int64(20)}",High
Andrew Wiggins,2019-20,56.6,65.92,Luxury Amplifier,High Scaling,Strong Creator,0.01119999999999998,3,2,Steps Up,True,"Positive career leverage (+0.011), CII 56.6: Stepping up consistently","{'self_created': np.float64(44.68), 'pressure_appetite': np.float64(74.99), 'difficulty_embrace': np.float64(42.86), 'defensive_survival': np.float64(69.68), 'force_multiplication': np.float64(54.21)}","{'scaling_efficiency': np.float64(41.2694942637225), 'pressure_appetite': np.float64(84.76356877323418), 'creation_tools': np.float64(73.9), 'opportunity_response': np.float64(60.48571428571428), 'age_trajectory': np.float64(85.0)}",High
Anthony Davis,2019-20,50.62,69.7,Fragile Star,High Scaling,Strong Creator,0.0214,3,2,Steps Up,True,"Positive career leverage (+0.021), CII 50.6: Stepping up consistently","{'self_created': np.float64(32.55), 'pressure_appetite': np.float64(77.96), 'difficulty_embrace': np.float64(27.16), 'defensive_survival': np.float64(54.2), 'force_multiplication': np.float64(78.07)}","{'scaling_efficiency': np.float64(60.82601891542491), 'pressure_appetite': np.float64(77.05492957746479), 'creation_tools': np.float64(60.604357036528114), 'opportunity_response': np.float64(86.0), 'age_trajectory': np.float64(71.66)}",High
Anthony Tolliver,2019-20,12.95,29.7,Role Player,Low Scaling,Role Player,-0.02374999999999995,1,3,Hides,False,"Low CII 12.9, low TII 29.7, no creation tools","{'self_created': np.float64(0.41), 'pressure_appetite': np.float64(17.78), 'difficulty_embrace': np.float64(5.09), 'defensive_survival': np.float64(46.21), 'force_multiplication': np.float64(4.35)}","{'scaling_efficiency': np.float64(3.7473145009416218), 'pressure_appetite': np.float64(59.50000000000003), 'creation_tools': np.float64(25.048931044866002), 'opportunity_response': np.float64(44.628571428571426), 'age_trajectory': np.int64(20)}",High
Aron Baynes,2019-20,19.58,36.29,Role Player,Limited Scaling,Role Player,-0.05766666666666664,0,3,Hides,False,"Low CII 19.6, low TII 36.3","{'self_created': np.float64(0.52), 'pressure_appetite': np.float64(41.12), 'difficulty_embrace': np.float64(2.9), 'defensive_survival': np.float64(42.4), 'force_multiplication': np.float64(22.06)}","{'scaling_efficiency': np.float64(13.286359492376045), 'pressure_appetite': np.float64(60.7365853658537), 'creation_tools': np.float64(14.020900257783065), 'opportunity_response': np.float64(75.43142857142857), 'age_trajectory': np.float64(30.0)}",Medium
