player_name,season,cii,tii,cii_archetype,tii_archetype,archetype_2d,career_leverage_mean,career_positive_seasons,career_negative_seasons,career_pattern,has_creation_tools,reasoning,cii_components,tii_components,confidence
Ersan Ilyasova,2015-16,14.39,31.36,Role Player,Low Scaling,Role Player,-0.0429999999999999,0,1,Hides,True,"Low CII 14.4, low TII 31.4","{'self_created': np.float64(7.61), 'pressure_appetite': np.float64(16.83), 'difficulty_embrace': np.float64(20.11), 'defensive_survival': np.float64(20.7), 'force_multiplication': np.float64(7.75)}","{'scaling_efficiency': np.float64(8.248338028169018), 'pressure_appetite': np.float64(22.80000000000004), 'creation_tools': np.float64(48.02217705510388), 'opportunity_response': np.float64(52.77142857142857), 'age_trajectory': np.float64(56.67)}",Medium
Evan Fournier,2015-16,30.22,61.74,Role Player,Moderate Scaling,Developing Prospect,-0.018,0,1,Mixed,False,"Low CII 30.2, moderate TII 61.7","{'self_created': np.float64(29.54), 'pressure_appetite': np.float64(33.27), 'difficulty_embrace': np.float64(20.04), 'defensive_survival': np.float64(42.76), 'force_multiplication': np.float64(26.14)}","{'scaling_efficiency': np.float64(50.83382861635218), 'pressure_appetite': np.float64(50.379999999999995), 'creation_tools': np.float64(58.62073170731707), 'opportunity_response': np.float64(84.5), 'age_trajectory': np.float64(95.0)}",Medium
Evan Turner,2015-16,40.47,60.96,Fragile Star,Moderate Scaling,Role Player,-0.0149999999999999,0,1,Mixed,True,"Low CII 40.5, moderate TII 61.0 (Age 27 > 25, reclassified from Developing Prospect)","{'self_created': np.float64(38.9), 'pressure_appetite': np.float64(31.61), 'difficulty_embrace': np.float64(47.29), 'defensive_survival': np.float64(53.31), 'force_multiplication': np.float64(34.44)}","{'scaling_efficiency': np.float64(50.02042049397837), 'pressure_appetite': np.float64(55.532608695652215), 'creation_tools': np.float64(83.25), 'opportunity_response': np.float64(55.0), 'age_trajectory': np.float64(71.66)}",Medium
Festus Ezeli,2015-16,6.64,22.61,Role Player,Low Scaling,Role Player,-0.0769999999999999,0,1,Hides,False,"Low CII 6.6, low TII 22.6","{'self_created': np.float64(0.45), 'pressure_appetite': np.float64(10.0), 'difficulty_embrace': np.float64(1.0), 'defensive_survival': np.float64(20.81), 'force_multiplication': np.float64(6.85)}","{'scaling_efficiency': np.float64(9.541775633933716), 'pressure_appetite': np.float64(9.200000000000038), 'creation_tools': np.float64(9.586114556060815), 'opportunity_response': np.float64(51.31428571428572), 'age_trajectory': np.float64(78.33)}",Medium
Frank Kaminsky,2015-16,11.89,33.81,Role Player,Low Scaling,Role Player,-0.0289999999999999,0,1,Hides,False,"Low CII 11.9, low TII 33.8","{'self_created': np.float64(5.82), 'pressure_appetite': np.float64(20.68), 'difficulty_embrace': np.float64(7.0), 'defensive_survival': np.float64(18.01), 'force_multiplication': np.float64(8.7)}","{'scaling_efficiency': np.float64(6.801986981184161), 'pressure_appetite': np.float64(41.18875502008036), 'creation_tools': np.float64(23.023361739641494), 'opportunity_response': np.float64(49.08571428571429), 'age_trajectory': np.float64(95.0)}",Medium
Garrett Temple,2015-16,19.2,39.03,Role Player,Limited Scaling,Role Player,-0.004,0,1,Mixed,False,"Low CII 19.2, low TII 39.0","{'self_created': np.float64(7.59), 'pressure_appetite': np.float64(29.29), 'difficulty_embrace': np.float64(14.16), 'defensive_survival': np.float64(34.29), 'force_multiplication': np.float64(16.2)}","{'scaling_efficiency': np.float64(15.225194805194807), 'pressure_appetite': np.float64(52.15238095238095), 'creation_tools': np.float64(44.00284552845528), 'opportunity_response': np.float64(51.91428571428571), 'age_trajectory': np.float64(48.34)}",Medium
Gary Harris,2015-16,17.43,43.76,Role Player,Limited Scaling,Role Player,-0.043,0,1,Hides,True,"Low CII 17.4, low TII 43.8","{'self_created': np.float64(14.59), 'pressure_appetite': np.float64(12.83), 'difficulty_embrace': np.float64(21.14), 'defensive_survival': np.float64(27.98), 'force_multiplication': np.float64(14.21)}","{'scaling_efficiency': np.float64(24.4061129032258), 'pressure_appetite': np.float64(22.800000000000004), 'creation_tools': np.float64(55.31585365853658), 'opportunity_response': np.float64(64.5142857142857), 'age_trajectory': np.int64(100)}",Medium
Gary Neal,2015-16,43.06,56.08,Fragile Star,Moderate Scaling,Role Player,0.01,1,0,Steps Up,True,"Low CII 43.1, moderate TII 56.1 (Age 31 > 25, reclassified from Developing Prospect)","{'self_created': np.float64(38.15), 'pressure_appetite': np.float64(46.94), 'difficulty_embrace': np.float64(48.0), 'defensive_survival': np.float64(55.41), 'force_multiplication': np.float64(19.71)}","{'scaling_efficiency': np.float64(41.48226166328602), 'pressure_appetite': np.float64(62.94117647058823), 'creation_tools': np.float64(78.73840267814444), 'opportunity_response': np.float64(54.31428571428572), 'age_trajectory': np.float64(40.01)}",Medium
George Hill,2015-16,28.21,55.7,Role Player,Moderate Scaling,Role Player,-0.0579999999999999,0,1,Hides,True,"Low CII 28.2, moderate TII 55.7 (Age 30 > 25, reclassified from Developing Prospect)","{'self_created': np.float64(38.01), 'pressure_appetite': np.float64(10.0), 'difficulty_embrace': np.float64(36.94), 'defensive_survival': np.float64(36.63), 'force_multiplication': np.float64(14.24)}","{'scaling_efficiency': np.float64(67.69104696370884), 'pressure_appetite': np.float64(16.80000000000004), 'creation_tools': np.float64(82.13333333333333), 'opportunity_response': np.float64(66.22857142857143), 'age_trajectory': np.float64(48.34)}",Medium
Gerald Green,2015-16,22.83,33.0,Role Player,Low Scaling,Role Player,-0.0549999999999999,0,1,Hides,True,"Low CII 22.8, low TII 33.0","{'self_created': np.float64(13.79), 'pressure_appetite': np.float64(16.17), 'difficulty_embrace': np.float64(35.9), 'defensive_survival': np.float64(43.85), 'force_multiplication': np.float64(8.94)}","{'scaling_efficiency': np.float64(11.821763392857141), 'pressure_appetite': np.float64(18.00000000000004), 'creation_tools': np.float64(62.8045731707317), 'opportunity_response': np.float64(50.371428571428574), 'age_trajectory': np.float64(48.34)}",Medium
Gerald Henderson,2015-16,23.9,39.38,Role Player,Limited Scaling,Role Player,-0.083,0,1,Hides,True,"Low CII 23.9, low TII 39.4","{'self_created': np.float64(23.3), 'pressure_appetite': np.float64(13.0), 'difficulty_embrace': np.float64(43.37), 'defensive_survival': np.float64(26.89), 'force_multiplication': np.float64(9.52)}","{'scaling_efficiency': np.float64(29.837436626391852), 'pressure_appetite': np.float64(6.800000000000002), 'creation_tools': np.float64(75.0905836670307), 'opportunity_response': np.float64(48.05714285714285), 'age_trajectory': np.float64(64.99000000000001)}",Medium
Giannis Antetokounmpo,2015-16,32.84,54.41,Role Player,Moderate Scaling,Role Player,-0.043,0,1,Hides,False,"Low CII 32.8, low TII 54.4","{'self_created': np.float64(35.93), 'pressure_appetite': np.float64(26.33), 'difficulty_embrace': np.float64(22.96), 'defensive_survival': np.float64(43.48), 'force_multiplication': np.float64(43.61)}","{'scaling_efficiency': np.float64(50.303995061904715), 'pressure_appetite': np.float64(22.800000000000004), 'creation_tools': np.float64(62.58116653790972), 'opportunity_response': np.float64(74.0), 'age_trajectory': np.int64(100)}",Medium
Goran Dragic,2015-16,36.63,48.44,Role Player,Limited Scaling,Role Player,-0.0999999999999999,0,1,Hides,True,"Low CII 36.6, low TII 48.4","{'self_created': np.float64(48.92), 'pressure_appetite': np.float64(11.83), 'difficulty_embrace': np.float64(46.87), 'defensive_survival': np.float64(45.94), 'force_multiplication': np.float64(27.3)}","{'scaling_efficiency': np.float64(58.41503949447079), 'pressure_appetite': np.float64(4.440892098500626e-14), 'creation_tools': np.float64(86.08767772511848), 'opportunity_response': np.float64(59.114285714285714), 'age_trajectory': np.float64(48.34)}",Medium
Gordon Hayward,2015-16,49.88,66.77,Fragile Star,High Scaling,Strong Creator,0.006,1,0,Mixed,True,"CII 49.9, TII 66.8","{'self_created': np.float64(50.25), 'pressure_appetite': np.float64(52.44), 'difficulty_embrace': np.float64(41.6), 'defensive_survival': np.float64(57.92), 'force_multiplication': np.float64(46.89)}","{'scaling_efficiency': np.float64(54.20431335236283), 'pressure_appetite': np.float64(64.64), 'creation_tools': np.float64(77.06463414634146), 'opportunity_response': np.float64(74.0), 'age_trajectory': np.float64(78.33)}",Medium
Gorgui Dieng,2015-16,27.52,52.9,Role Player,Moderate Scaling,Role Player,-0.004,0,1,Mixed,True,"Low CII 27.5, low TII 52.9","{'self_created': np.float64(10.71), 'pressure_appetite': np.float64(33.71), 'difficulty_embrace': np.float64(24.5), 'defensive_survival': np.float64(56.61), 'force_multiplication': np.float64(24.85)}","{'scaling_efficiency': np.float64(27.20969989047097), 'pressure_appetite': np.float64(64.23030303030303), 'creation_tools': np.float64(44.18720128110372), 'opportunity_response': np.float64(80.05142857142857), 'age_trajectory': np.float64(78.33)}",Medium
Greg Monroe,2015-16,28.56,37.8,Role Player,Limited Scaling,Role Player,-0.035,0,1,Hides,False,"Low CII 28.6, low TII 37.8","{'self_created': np.float64(20.54), 'pressure_appetite': np.float64(31.91), 'difficulty_embrace': np.float64(9.9), 'defensive_survival': np.float64(47.56), 'force_multiplication': np.float64(53.11)}","{'scaling_efficiency': np.float64(26.261896494750125), 'pressure_appetite': np.float64(25.999999999999996), 'creation_tools': np.float64(26.104262133530426), 'opportunity_response': np.float64(69.11428571428571), 'age_trajectory': np.float64(78.33)}",Medium
Harrison Barnes,2015-16,21.97,47.57,Role Player,Limited Scaling,Role Player,-0.0409999999999999,0,1,Hides,True,"Low CII 22.0, low TII 47.6","{'self_created': np.float64(12.74), 'pressure_appetite': np.float64(12.5), 'difficulty_embrace': np.float64(29.49), 'defensive_survival': np.float64(49.76), 'force_multiplication': np.float64(16.61)}","{'scaling_efficiency': np.float64(34.61757522704893), 'pressure_appetite': np.float64(23.600000000000037), 'creation_tools': np.float64(63.794340212632896), 'opportunity_response': np.float64(63.48571428571428), 'age_trajectory': np.float64(90.0)}",Medium
