player_name,season,cii,tii,cii_archetype,tii_archetype,archetype_2d,career_leverage_mean,career_positive_seasons,career_negative_seasons,career_pattern,has_creation_tools,reasoning,cii_components,tii_components,confidence
Aaron Gordon,2017-18,33.86,46.55,Role Player,Limited Scaling,Fragile Star,-0.052999999999999964,0,3,Hides,True,"Fragile Star: high usage (23.8%), high minutes (32.9), low CII (33.9), extreme hiding (-0.053)","{'self_created': np.float64(29.62), 'pressure_appetite': np.float64(31.25), 'difficulty_embrace': np.float64(33.74), 'defensive_survival': np.float64(46.36), 'force_multiplication': np.float64(34.64)}","{'scaling_efficiency': np.float64(29.48180190108831), 'pressure_appetite': np.float64(24.00000000000004), 'creation_tools': np.float64(64.13192252510761), 'opportunity_response': np.float64(59.2), 'age_trajectory': np.int64(100)}",Medium
Aaron Harrison,2017-18,36.3,58.04,Role Player,Moderate Scaling,Developing Prospect,0.131,1,0,Steps Up,False,"Low CII 36.3, moderate TII 58.0","{'self_created': np.float64(5.47), 'pressure_appetite': np.float64(69.67), 'difficulty_embrace': np.float64(21.2), 'defensive_survival': np.float64(73.15), 'force_multiplication': np.float64(20.3)}","{'scaling_efficiency': np.float64(18.505655572454284), 'pressure_appetite': np.float64(96.1), 'creation_tools': np.float64(54.93989547038328), 'opportunity_response': np.float64(53.2), 'age_trajectory': np.float64(95.0)}",Medium
Al Horford,2017-18,23.52,41.92,Role Player,Limited Scaling,Role Player,-0.03466666666666667,0,3,Hides,True,"Low CII 23.5, low TII 41.9","{'self_created': np.float64(18.14), 'pressure_appetite': np.float64(18.06), 'difficulty_embrace': np.float64(20.89), 'defensive_survival': np.float64(46.42), 'force_multiplication': np.float64(24.24)}","{'scaling_efficiency': np.float64(30.14710609904282), 'pressure_appetite': np.float64(23.200000000000003), 'creation_tools': np.float64(62.32586965213915), 'opportunity_response': np.float64(74.08571428571429), 'age_trajectory': np.float64(35.0)}",Medium
Al-Farouq Aminu,2017-18,9.88,29.59,Role Player,Low Scaling,Role Player,-0.03533333333333329,0,3,Hides,False,"Low CII 9.9, low TII 29.6","{'self_created': np.float64(6.66), 'pressure_appetite': np.float64(10.33), 'difficulty_embrace': np.float64(7.04), 'defensive_survival': np.float64(21.41), 'force_multiplication': np.float64(6.79)}","{'scaling_efficiency': np.float64(7.725107777949592), 'pressure_appetite': np.float64(22.800000000000004), 'creation_tools': np.float64(29.48280067283432), 'opportunity_response': np.float64(56.71428571428571), 'age_trajectory': np.float64(71.66)}",Medium
Alec Burks,2017-18,30.4,48.31,Role Player,Limited Scaling,Role Player,0.0156666666666667,2,1,Steps Up,True,"Low CII 30.4, low TII 48.3","{'self_created': np.float64(28.5), 'pressure_appetite': np.float64(35.97), 'difficulty_embrace': np.float64(23.64), 'defensive_survival': np.float64(37.43), 'force_multiplication': np.float64(25.14)}","{'scaling_efficiency': np.float64(36.93799808035102), 'pressure_appetite': np.float64(45.28959276018102), 'creation_tools': np.float64(56.507944303424935), 'opportunity_response': np.float64(45.14285714285714), 'age_trajectory': np.float64(78.33)}",Medium
Alex Len,2017-18,12.99,32.31,Role Player,Low Scaling,Role Player,-0.09233333333333334,0,3,Hides,False,"Low CII 13.0, low TII 32.3","{'self_created': np.float64(14.31), 'pressure_appetite': np.float64(10.5), 'difficulty_embrace': np.float64(3.1), 'defensive_survival': np.float64(25.35), 'force_multiplication': np.float64(16.53)}","{'scaling_efficiency': np.float64(17.41892210476584), 'pressure_appetite': np.float64(15.600000000000001), 'creation_tools': np.float64(12.633333333333333), 'opportunity_response': np.float64(81.04571428571428), 'age_trajectory': np.float64(85.0)}",Medium
Allen Crabbe,2017-18,17.37,41.36,Role Player,Limited Scaling,Role Player,-0.06599999999999995,0,2,Hides,False,"Low CII 17.4, low TII 41.4","{'self_created': np.float64(9.31), 'pressure_appetite': np.float64(15.67), 'difficulty_embrace': np.float64(22.36), 'defensive_survival': np.float64(36.93), 'force_multiplication': np.float64(6.43)}","{'scaling_efficiency': np.float64(28.394656312913447), 'pressure_appetite': np.float64(20.400000000000045), 'creation_tools': np.float64(52.94496201519392), 'opportunity_response': np.float64(62.114285714285714), 'age_trajectory': np.float64(78.33)}",Medium
Andre Drummond,2017-18,26.0,41.56,Role Player,Limited Scaling,Fragile Star,-0.025666666666666633,0,3,Hides,False,"Fragile Star: high minutes (33.7), low CII (26.0), no creation tools","{'self_created': np.float64(20.54), 'pressure_appetite': np.float64(39.64), 'difficulty_embrace': np.float64(3.29), 'defensive_survival': np.float64(41.46), 'force_multiplication': np.float64(30.55)}","{'scaling_efficiency': np.float64(12.705700483091796), 'pressure_appetite': np.float64(59.057971014492786), 'creation_tools': np.float64(20.515551235222496), 'opportunity_response': np.float64(65.88571428571429), 'age_trajectory': np.float64(90.0)}",Medium
Andre Iguodala,2017-18,18.78,42.02,Role Player,Limited Scaling,Role Player,-0.03433333333333336,1,2,Hides,True,"Low CII 18.8, low TII 42.0","{'self_created': np.float64(14.79), 'pressure_appetite': np.float64(11.61), 'difficulty_embrace': np.float64(17.93), 'defensive_survival': np.float64(40.59), 'force_multiplication': np.float64(17.68)}","{'scaling_efficiency': np.float64(25.503007913369434), 'pressure_appetite': np.float64(45.64880952380952), 'creation_tools': np.float64(62.6910569105691), 'opportunity_response': np.float64(52.77142857142857), 'age_trajectory': np.float64(25.0)}",Medium
Andre Roberson,2017-18,9.66,26.46,Role Player,Low Scaling,Role Player,-0.03333333333333333,0,3,Hides,False,"Low CII 9.7, low TII 26.5","{'self_created': np.float64(1.56), 'pressure_appetite': np.float64(10.0), 'difficulty_embrace': np.float64(0.0), 'defensive_survival': np.float64(42.33), 'force_multiplication': np.float64(3.45)}","{'scaling_efficiency': np.float64(7.533260385005071), 'pressure_appetite': np.float64(27.599999999999998), 'creation_tools': np.float64(7.0), 'opportunity_response': np.float64(53.8), 'age_trajectory': np.float64(78.33)}",Medium
