player_name,season,cii,tii,cii_archetype,tii_archetype,archetype_2d,career_leverage_mean,career_positive_seasons,career_negative_seasons,career_pattern,has_creation_tools,reasoning,cii_components,tii_components,confidence
Aaron Gordon,2023-24,22.75,44.33,Role Player,Limited Scaling,Role Player,-0.05577777777777773,0,9,Hides,False,"Low CII 22.8, low TII 44.3, no creation tools","{'self_created': np.float64(20.81), 'pressure_appetite': np.float64(19.43), 'difficulty_embrace': np.float64(8.71), 'defensive_survival': np.float64(45.54), 'force_multiplication': np.float64(30.76)}","{'scaling_efficiency': np.float64(34.19284285130162), 'pressure_appetite': np.float64(26.000000000000043), 'creation_tools': np.float64(36.5745117278759), 'opportunity_response': np.float64(91.7), 'age_trajectory': np.float64(64.99000000000001)}",High
Aaron Holiday,2023-24,26.47,50.18,Role Player,Moderate Scaling,Role Player,-0.026000000000000002,0,2,Hides,False,"Low CII 26.5, low TII 50.2","{'self_created': np.float64(34.79), 'pressure_appetite': np.float64(25.38), 'difficulty_embrace': np.float64(17.99), 'defensive_survival': np.float64(32.12), 'force_multiplication': np.float64(12.68)}","{'scaling_efficiency': np.float64(40.481672753233184), 'pressure_appetite': np.float64(46.39662447257383), 'creation_tools': np.float64(50.60982299063497), 'opportunity_response': np.float64(60.971428571428575), 'age_trajectory': np.float64(71.66)}",Medium
Aaron Nesmith,2023-24,19.17,52.68,Role Player,Moderate Scaling,Role Player,-0.016,1,1,Mixed,False,"Low CII 19.2, low TII 52.7","{'self_created': np.float64(4.3), 'pressure_appetite': np.float64(36.85), 'difficulty_embrace': np.float64(9.31), 'defensive_survival': np.float64(33.6), 'force_multiplication': np.float64(17.66)}","{'scaling_efficiency': np.float64(32.65182523478971), 'pressure_appetite': np.float64(56.31898734177214), 'creation_tools': np.float64(32.957739014099), 'opportunity_response': np.float64(88.11714285714285), 'age_trajectory': np.float64(90.0)}",Medium
Aaron Wiggins,2023-24,11.65,36.48,Role Player,Limited Scaling,Role Player,-0.05266666666666659,0,3,Hides,False,"Low CII 11.7, low TII 36.5","{'self_created': np.float64(7.62), 'pressure_appetite': np.float64(11.33), 'difficulty_embrace': np.float64(2.99), 'defensive_survival': np.float64(34.91), 'force_multiplication': np.float64(6.99)}","{'scaling_efficiency': np.float64(23.84503654710946), 'pressure_appetite': np.float64(18.000000000000004), 'creation_tools': np.float64(24.05298019851364), 'opportunity_response': np.float64(76.80285714285714), 'age_trajectory': np.float64(85.0)}",Medium
Al Horford,2023-24,10.87,37.05,Role Player,Limited Scaling,Role Player,-0.031374999999999986,0,8,Hides,False,"Low CII 10.9, low TII 37.0, no creation tools","{'self_created': np.float64(0.93), 'pressure_appetite': np.float64(16.76), 'difficulty_embrace': np.float64(3.59), 'defensive_survival': np.float64(34.39), 'force_multiplication': np.float64(5.24)}","{'scaling_efficiency': np.float64(20.80564463623287), 'pressure_appetite': np.float64(49.76190476190476), 'creation_tools': np.float64(16.409253945480632), 'opportunity_response': np.float64(87.26857142857142), 'age_trajectory': np.int64(20)}",High
Alec Burks,2023-24,25.93,37.1,Role Player,Limited Scaling,Fragile Star,0.02399999999999999,7,2,Steps Up,False,"Fragile Star: high usage (23.4%), low CII (25.9), no creation tools","{'self_created': np.float64(24.27), 'pressure_appetite': np.float64(24.91), 'difficulty_embrace': np.float64(29.03), 'defensive_survival': np.float64(32.0), 'force_multiplication': np.float64(18.18)}","{'scaling_efficiency': np.float64(34.416002548176465), 'pressure_appetite': np.float64(18.800000000000004), 'creation_tools': np.float64(57.81283093600167), 'opportunity_response': np.float64(46.77142857142857), 'age_trajectory': np.float64(35.0)}",High
Aleksej Pokusevski,2023-24,6.71,25.99,Role Player,Low Scaling,Role Player,0.0004999999999999727,2,2,Mixed,False,"Mixed career leverage, no tools, low CII","{'self_created': np.float64(2.97), 'pressure_appetite': np.float64(10.0), 'difficulty_embrace': np.float64(6.76), 'defensive_survival': np.float64(11.45), 'force_multiplication': np.float64(2.53)}","{'scaling_efficiency': np.float64(10.295039722663587), 'pressure_appetite': np.float64(4.400000000000044), 'creation_tools': np.float64(26.438012856872753), 'opportunity_response': np.float64(43.42857142857143), 'age_trajectory': np.int64(100)}",High
Alex Caruso,2023-24,22.81,53.84,Role Player,Moderate Scaling,Role Player,-0.02959999999999998,1,4,Hides,False,"Low CII 22.8, low TII 53.8, no creation tools","{'self_created': np.float64(20.04), 'pressure_appetite': np.float64(24.58), 'difficulty_embrace': np.float64(10.19), 'defensive_survival': np.float64(50.28), 'force_multiplication': np.float64(10.71)}","{'scaling_efficiency': np.float64(37.7883894572568), 'pressure_appetite': np.float64(59.6073059360731), 'creation_tools': np.float64(47.0436574228756), 'opportunity_response': np.float64(89.06), 'age_trajectory': np.float64(48.34)}",High
Alperen Sengun,2023-24,43.83,55.28,Fragile Star,Moderate Scaling,Developing Prospect,-0.003999999999999962,1,2,Mixed,False,"Low CII 43.8, moderate TII 55.3","{'self_created': np.float64(18.92), 'pressure_appetite': np.float64(83.5), 'difficulty_embrace': np.float64(8.79), 'defensive_survival': np.float64(53.96), 'force_multiplication': np.float64(74.31)}","{'scaling_efficiency': np.float64(22.655507341661185), 'pressure_appetite': np.float64(82.84074074074073), 'creation_tools': np.float64(29.994956338452273), 'opportunity_response': np.float64(78.5), 'age_trajectory': np.int64(100)}",Medium
Amen Thompson,2023-24,24.83,44.61,Role Player,Limited Scaling,Role Player,-0.03,0,1,Hides,False,"Low CII 24.8, low TII 44.6","{'self_created': np.float64(31.28), 'pressure_appetite': np.float64(21.76), 'difficulty_embrace': np.float64(7.07), 'defensive_survival': np.float64(39.03), 'force_multiplication': np.float64(27.39)}","{'scaling_efficiency': np.float64(20.959318970047292), 'pressure_appetite': np.float64(48.878612716763), 'creation_tools': np.float64(30.876810470416842), 'opportunity_response': np.float64(66.2), 'age_trajectory': np.int64(100)}",Medium
Andre Drummond,2023-24,15.66,22.18,Role Player,Low Scaling,Role Player,-0.04885714285714283,0,7,Hides,False,"Low CII 15.7, low TII 22.2, no creation tools","{'self_created': np.float64(21.7), 'pressure_appetite': np.float64(14.17), 'difficulty_embrace': np.float64(0.6), 'defensive_survival': np.float64(28.36), 'force_multiplication': np.float64(12.3)}","{'scaling_efficiency': np.float64(13.801115453179065), 'pressure_appetite': np.float64(9.600000000000005), 'creation_tools': np.float64(7.8), 'opportunity_response': np.float64(61.65714285714286), 'age_trajectory': np.float64(48.34)}",High
Andrew Nembhard,2023-24,29.22,61.97,Role Player,Moderate Scaling,Developing Prospect,-0.00550000000000005,1,1,Mixed,True,"Low CII 29.2, moderate TII 62.0","{'self_created': np.float64(35.72), 'pressure_appetite': np.float64(18.45), 'difficulty_embrace': np.float64(30.23), 'defensive_survival': np.float64(42.04), 'force_multiplication': np.float64(15.39)}","{'scaling_efficiency': np.float64(71.28698064282696), 'pressure_appetite': np.float64(27.599999999999998), 'creation_tools': np.float64(72.09623541887592), 'opportunity_response': np.float64(68.42857142857143), 'age_trajectory': np.float64(90.0)}",Medium
Andrew Wiggins,2023-24,19.79,38.17,Role Player,Limited Scaling,Role Player,-0.029333333333333315,3,6,Hides,False,"Low CII 19.8, low TII 38.2, no creation tools","{'self_created': np.float64(17.41), 'pressure_appetite': np.float64(15.83), 'difficulty_embrace': np.float64(19.54), 'defensive_survival': np.float64(31.62), 'force_multiplication': np.float64(19.61)}","{'scaling_efficiency': np.float64(32.2116630128406), 'pressure_appetite': np.float64(11.60000000000004), 'creation_tools': np.float64(59.1113110742758), 'opportunity_response': np.float64(54.142857142857146), 'age_trajectory': np.float64(56.67)}",High
Anfernee Simons,2023-24,73.51,79.32,Strong Creator,High Scaling,Latent Engine,0.036999999999999963,3,0,Steps Up,True,"CII 73.5, TII 79.3: High potential (limited career data)","{'self_created': np.float64(73.92), 'pressure_appetite': np.float64(83.17), 'difficulty_embrace': np.float64(64.1), 'defensive_survival': np.float64(86.5), 'force_multiplication': np.float64(47.49)}","{'scaling_efficiency': np.float64(69.75959984609463), 'pressure_appetite': np.float64(89.31449275362317), 'creation_tools': np.float64(79.31666666666666), 'opportunity_response': np.float64(77.98571428571428), 'age_trajectory': np.float64(85.0)}",Medium
Anthony Davis,2023-24,32.74,53.73,Role Player,Moderate Scaling,Fragile Star,-0.0009999999999999894,3,6,Mixed,False,"Fragile Star: high usage (26.1%), high minutes (35.5), low CII (32.7), no creation tools","{'self_created': np.float64(22.82), 'pressure_appetite': np.float64(36.37), 'difficulty_embrace': np.float64(20.17), 'defensive_survival': np.float64(44.75), 'force_multiplication': np.float64(60.51)}","{'scaling_efficiency': np.float64(63.12826607972609), 'pressure_appetite': np.float64(24.400000000000006), 'creation_tools': np.float64(58.95490452605676), 'opportunity_response': np.float64(86.0), 'age_trajectory': np.float64(40.01)}",High
Anthony Edwards,2023-24,72.49,76.48,Strong Creator,High Scaling,Luxury Amplifier,-0.0025000000000000248,2,2,Mixed,True,"Negative career leverage (-0.003, 2+/2-) BUT has creation tools: Thrives as #2","{'self_created': np.float64(74.4), 'pressure_appetite': np.float64(80.34), 'difficulty_embrace': np.float64(66.66), 'defensive_survival': np.float64(69.12), 'force_multiplication': np.float64(63.87)}","{'scaling_efficiency': np.float64(66.1003942978465), 'pressure_appetite': np.float64(76.00318471337579), 'creation_tools': np.float64(79.35), 'opportunity_response': np.float64(78.5), 'age_trajectory': np.int64(100)}",High
