player_name,season,ts_delta,spatial_diversity,combined_score
Ben Simmons,2017-18,,,
Ben Simmons,2018-19,,,
Ben Simmons,2019-20,,,
Ben Simmons,2020-21,,,
Joel Embiid,2017-18,,,
Joel Embiid,2018-19,,,
Joel Embiid,2019-20,,,
Joel Embiid,2020-21,,,
Joel Embiid,2021-22,,,
Joel Embiid,2022-23,,,
Joel Embiid,2023-24,,,
Giannis Antetokounmpo,2017-18,,,
Giannis Antetokounmpo,2018-19,,,
Giannis Antetokounmpo,2019-20,,,
Giannis Antetokounmpo,2020-21,,,
