season,unified_score,versatility,specialization,scalability,dominance,evolution,primary_archetype
2015-16,62.68661894515108,65.06497461317173,57.29577191145819,65.0,50.0078449085789,64.66758074268637,Versatility
2016-17,63.20892063426356,65.06497461317173,62.45870626206859,65.0,50.06792744909332,64.66758074268637,Versatility
2017-18,62.99443521341846,65.06497461317173,60.23731110987096,65.0,50.14446839283999,64.66758074268637,Versatility
2018-19,60.787993049682825,65.06497461317173,56.766273569014395,55.0,49.95102035598253,64.66758074268637,Versatility
2019-20,69.84576982442813,65.06497461317173,58.97302480434471,85.0,49.98707542163452,64.66758074268637,Scalability
2020-21,62.3784444651227,65.06497461317173,64.62610411456939,55.0,50.13587341927129,64.66758074268637,Versatility
2021-22,62.36982684932454,65.06497461317173,64.59498687172857,55.0,50.11193174697134,64.66758074268637,Versatility
2022-23,68.69208729650754,65.06497461317173,71.8098709625782,75.0,50.09866558959999,64.66758074268637,Scalability
2023-24,63.736399797235336,65.06497461317173,68.66356287494499,55.0,50.043929891743865,64.66758074268637,Specialization
2024-25,63.344713735261756,65.06497461317173,67.50597640186018,55.0,50.17862192780489,64.66758074268637,Specialization
