player_name,draft_year,usg_y1,nc_score,new_skills,skill_details
Jaden Springer,2021-22,0.118,1.5,2,"Zone_Mid_Range(1.0), Zone_Rim(0.5)"
Franz Wagner,2021-22,0.208,1.0,1,Zone_Mid_Range(1.0)
Ziaire Williams,2021-22,0.144,1.5,1,Method_CatchShoot3(1.5)
Chris Duarte,2021-22,0.207,0.0,0,
Bones Hyland,2021-22,0.231,1.5,1,Zone_Floater(1.5)
Kai Jones,2021-22,0.15,0.0,0,
Miles McBride,2021-22,0.137,12.2,8,"Zone_Mid_Range(1.0), Method_PullUp3(3.0), Method_PullUp2(2.5), Zone_Above_Break_3(1.2), Zone_Floater(1.5), Zone_Corner_3(1.0), Method_CatchShoot3(1.5), Zone_Rim(0.5)"
Moses Moody,2021-22,0.148,2.5,2,"Zone_Mid_Range(1.0), Zone_Floater(1.5)"
Isaiah Jackson,2021-22,0.214,1.5,1,Zone_Floater(1.5)
Tre Mann,2021-22,0.213,3.0,3,"Zone_Mid_Range(1.0), Zone_Rim(0.5), Zone_Floater(1.5)"
Day'Ron Sharpe,2021-22,0.205,2.0,2,"Zone_Rim(0.5), Zone_Floater(1.5)"
JT Thor,2021-22,0.116,3.2,3,"Method_CatchShoot3(1.5), Zone_Rim(0.5), Zone_Above_Break_3(1.2)"
Jalen Johnson,2021-22,0.183,5.7,5,"Zone_Mid_Range(1.0), Method_CatchShoot3(1.5), Zone_Rim(0.5), Zone_Above_Break_3(1.2), Zone_Floater(1.5)"
Keon Johnson,2021-22,0.207,0.0,0,
Kessler Edwards,2021-22,0.132,0.0,0,
Corey Kispert,2021-22,0.142,4.2,2,"Method_PullUp3(3.0), Zone_Above_Break_3(1.2)"
Davion Mitchell,2021-22,0.202,5.5,3,"Zone_Corner_3(1.0), Method_CatchShoot3(1.5), Method_PullUp3(3.0)"
Cam Thomas,2021-22,0.212,6.2,4,"Method_CatchShoot3(1.5), Zone_Rim(0.5), Method_PullUp3(3.0), Zone_Above_Break_3(1.2)"
Scottie Barnes,2021-22,0.187,2.7,2,"Method_CatchShoot3(1.5), Zone_Above_Break_3(1.2)"
Luka Garza,2021-22,0.195,0.0,0,
Sandro Mamukelashvili,2021-22,0.142,0.0,0,
Alperen Sengun,2021-22,0.214,4.0,3,"Method_CatchShoot3(1.5), Zone_Mid_Range(1.0), Zone_Floater(1.5)"
Jericho Sims,2021-22,0.068,0.0,0,
Josh Giddey,2021-22,0.218,3.5,3,"Zone_Corner_3(1.0), Zone_Mid_Range(1.0), Method_CatchShoot3(1.5)"
Santi Aldama,2021-22,0.174,4.7,4,"Method_CatchShoot3(1.5), Zone_Rim(0.5), Zone_Above_Break_3(1.2), Zone_Floater(1.5)"
Jalen Suggs,2021-22,0.244,9.2,6,"Zone_Mid_Range(1.0), Method_PullUp3(3.0), Zone_Above_Break_3(1.2), Zone_Floater(1.5), Zone_Corner_3(1.0), Method_CatchShoot3(1.5)"
Cade Cunningham,2021-22,0.273,5.0,3,"Method_CatchShoot3(1.5), Zone_Mid_Range(1.0), Method_PullUp2(2.5)"
Evan Mobley,2021-22,0.201,4.2,3,"Method_CatchShoot3(1.5), Zone_Above_Break_3(1.2), Zone_Floater(1.5)"
Aaron Wiggins,2021-22,0.149,3.7,3,"Zone_Corner_3(1.0), Method_CatchShoot3(1.5), Zone_Above_Break_3(1.2)"
Dalano Banton,2021-22,0.159,0.0,0,
