season,unified_score,versatility,specialization,scalability,dominance,evolution,primary_archetype
2015-16,56.60903179922981,65.25024381188605,55.65793874682764,55.0,49.91612738264283,38.65349040098504,Versatility
2016-17,56.34940756297961,65.25024381188605,54.489284622999705,55.0,49.98616264121045,38.65349040098504,Versatility
2017-18,62.55309988597257,65.25024381188605,55.61129053900139,75.0,50.02931785102278,38.65349040098504,Scalability
2018-19,59.0688248583118,65.25024381188605,55.583571771385394,65.0,49.99176129776097,38.65349040098504,Versatility
2019-20,56.35977287001987,65.25024381188605,54.583756691638406,55.0,49.90087157433568,38.65349040098504,Versatility
2020-21,59.210504077809205,65.25024381188605,56.32269150241859,65.0,49.930314030668605,38.65349040098504,Versatility
2021-22,59.47063486233145,65.25024381188605,57.55213669734508,65.0,50.072731486038116,38.65349040098504,Versatility
2022-23,59.29406867180957,65.25024381188605,56.80941337368758,65.0,49.792516228134275,38.65349040098504,Versatility
2023-24,58.098085969022776,65.25024381188605,61.56211191629793,55.0,50.04623615689674,38.65349040098504,Versatility
2024-25,59.18820580056199,65.25024381188605,56.13836384758715,65.0,50.07598656785933,38.65349040098504,Versatility
