season,unified_score,versatility,specialization,scalability,dominance,evolution,primary_archetype
2015-16,55.32210732095147,63.795408751279965,57.11830865109998,55.0,50.50803761895156,26.63333333333334,Versatility
2016-17,56.255672764540186,63.795408751279965,60.943978516912516,55.0,50.279517390307426,26.63333333333334,Versatility
2017-18,55.51292494529183,63.795408751279965,57.91615973161526,55.0,50.42158616106695,26.63333333333334,Versatility
2018-19,65.20156519845455,63.795408751279965,59.02517669184335,85.0,50.343443389325614,26.63333333333334,Scalability
2019-20,28.98672639628132,63.795408751279965,0.0,0.0,0.0,26.63333333333334,Versatility
2020-21,56.33581561927845,63.795408751279965,61.16693567063936,55.0,50.52355305337291,26.63333333333334,Versatility
2021-22,56.69066803030655,63.795408751279965,62.54067300445556,55.0,50.63773382911337,26.63333333333334,Versatility
2022-23,59.99078365112152,63.795408751279965,66.43904784913188,65.0,50.64701820336032,26.63333333333334,Specialization
2023-24,58.81965414144068,63.795408751279965,62.0818479327887,65.0,50.410990337296056,26.63333333333334,Scalability
2024-25,60.112942283592794,63.795408751279965,66.80118359743253,65.0,50.60112940902079,26.63333333333334,Specialization
