season,unified_score,versatility,specialization,scalability,dominance,evolution,primary_archetype
2015-16,55.33603394181077,69.11235257897619,52.64205550308792,55.0,50.25632230191213,18.426672083603073,Versatility
2016-17,55.4842868271555,69.11235257897619,53.40449097497523,55.0,50.21398021158481,18.426672083603073,Versatility
2017-18,61.05306920496041,69.11235257897619,74.00727776490713,55.0,50.29766634138555,18.426672083603073,Specialization
2018-19,59.92591136723364,69.11235257897619,70.74885844748859,55.0,50.430555575082806,18.426672083603073,Specialization
2019-20,59.426686590058935,69.11235257897619,69.3700262670448,55.0,50.26422043488898,18.426672083603073,Specialization
2020-21,56.791512466124956,69.11235257897619,58.98088297898981,55.0,50.14301110375523,18.426672083603073,Versatility
2021-22,55.565001942514826,69.11235257897619,53.88874221604653,55.0,50.05262888303549,18.426672083603073,Versatility
2022-23,56.50905043149277,69.11235257897619,57.848192264098444,55.0,50.15011754466193,18.426672083603073,Versatility
2023-24,57.94378102990723,69.11235257897619,63.57908017908018,55.0,50.17020374135216,18.426672083603073,Versatility
2024-25,58.6813008275351,69.11235257897619,66.53942830453299,55.0,50.14453140399884,18.426672083603073,Versatility
