season,unified_score,versatility,specialization,scalability,dominance,evolution,primary_archetype
2015-16,56.59474763243288,61.69937899751414,49.62103041823104,65.0,49.862133730778964,34.85373095075444,Scalability
2016-17,53.947389984388764,61.69937899751414,50.66056979967314,55.0,49.85120280248746,34.85373095075444,Versatility
2017-18,53.90949944377401,61.69937899751414,50.48705010531494,55.0,49.81933678505624,34.85373095075444,Versatility
2018-19,57.50342442258354,61.69937899751414,64.60045864045864,55.0,49.83046053969041,34.85373095075444,Specialization
2019-20,54.961826529416115,61.69937899751414,55.58021796512362,55.0,49.8661629392981,34.85373095075444,Versatility
2020-21,55.59703540413737,61.69937899751414,58.14033704469226,55.0,49.81795398758916,34.85373095075444,Versatility
2021-22,55.14162459948272,61.69937899751414,56.28642447193172,55.0,49.89862737294393,34.85373095075444,Versatility
2022-23,57.76042549329448,61.69937899751414,55.61090383070205,65.0,49.78026882700087,34.85373095075444,Scalability
2023-24,58.31883006408069,61.69937899751414,58.382063218805925,65.0,49.82199575865528,34.85373095075444,Scalability
2024-25,55.67897631818466,61.69937899751414,58.434543140063795,55.0,49.9018478896332,34.85373095075444,Versatility
