PLAYER_ID,PLAYER_NAME,SEASON,CREATION_PPS,ADJUSTED_CREATION_PPS,LATENT_PPS_AT_SCALE,LATENT_CREATION_POTENTIAL,LOG_CREATION_VOLUME,CONTEXT_ADJUSTMENT_FACTOR
708,Kevin Garnett,2015-16,0.0,0.0,-0.055799999999999995,0.0,0.0,1.0
977,Kobe Bryant,2015-16,0.7730746268656716,0.9443579359549746,0.9485579359549746,0.005447307511545939,1.9572739077056285,1.2215611574056549
1495,Tim Duncan,2015-16,0.8557575757575756,1.0219887099673755,0.9832887099673755,0.0002767737098292556,0.5068176023684519,1.1942502630638596
1713,Vince Carter,2015-16,0.7262727272727272,0.7262727272727272,0.6893727272727271,-0.0019692168791534403,0.78845736036427,1.0
1717,Dirk Nowitzki,2015-16,1.066,1.2834222732213598,1.2681222732213597,0.0025263655028188343,0.693147180559945,1.20396085668045
1718,Paul Pierce,2015-16,0.7272,0.7272,0.6902999999999999,-0.00050269649387313,0.4382549309311553,1.0
1737,Nazr Mohammed,2015-16,0.0,0.0,-0.029999999999999992,0.0,0.0,1.0
1882,Elton Brand,2015-16,0.0,0.0,-0.03959999999999999,-0.0001276272066094201,0.11332868530700299,1.0
1889,Andre Miller,2015-16,0.8290322580645163,0.8290322580645163,0.7858322580645163,-0.0014788419820921637,0.9001613499442714,1.0
1891,Jason Terry,2015-16,0.7415555555555555,0.7415555555555555,0.6953555555555555,-0.0014528083508778475,0.7030975114131132,1.0
1897,Metta World Peace,2015-16,0.8022727272727272,0.8022727272727272,0.7608727272727273,-0.0010546309035533992,0.7227059828014897,1.0
1938,Manu Ginobili,2015-16,0.78225,0.78225,0.76035,-0.002656627201471326,1.047318994280559,1.0
2034,Mike Miller,2015-16,1.5,1.5,1.4367,8.41653608530718e-06,0.03922071315328124,1.0
2037,Jamal Crawford,2015-16,0.900111111111111,1.082263777982894,1.063963777982894,0.016982925835386964,1.9080599249242156,1.2023668685157447
2199,Tyson Chandler,2015-16,0.5,0.610204947536431,0.5580049475364309,-1.1949437312126444e-05,0.058268908123975685,1.220409895072862
2200,Pau Gasol,2015-16,0.8130000000000001,0.9986587234713616,0.9818587234713616,0.0013980612064949157,1.0043016091968682,1.2283625134949097
2207,Joe Johnson,2015-16,0.8363988410886741,1.0210428890636167,0.9844428890636168,0.006597506809635543,1.7404661748405046,1.2207607649654393
2210,Richard Jefferson,2015-16,0.9075,0.9075,0.8573999999999999,-2.194033065844047e-05,0.2151113796169455,1.0
2216,Zach Randolph,2015-16,0.8860000000000001,1.0503969668827902,1.0344969668827901,0.004288500213307228,1.2725655957915476,1.1855496240212078
2225,Tony Parker,2015-16,0.897842105263158,1.068155209658064,1.041455209658064,0.018908454516805267,2.0681277817795625,1.1896915987750287
2365,Chris Andersen,2015-16,2.0,2.0,1.9424,1.634692978447522e-05,0.03922071315328129,1.0
2399,Mike Dunleavy,2015-16,0.462,0.462,0.4143,-0.00035763406505707514,0.25464221837358075,1.0
2400,Drew Gooden,2015-16,0.68,0.68,0.6407,-9.436323288758346e-05,0.1823215567939544,1.0
2403,Nene,2015-16,1.0,1.0,0.9754,0.0003215039947776984,0.5653138090500603,1.0
2405,Amar'e Stoudemire,2015-16,0.61272,0.61272,0.57552,-0.00018056264222056142,0.2231435513142096,1.0
2406,Caron Butler,2015-16,1.5,1.5,1.4577,0.00031034204131652905,0.22314355131420976,1.0
2419,Tayshaun Prince,2015-16,0.667,0.667,0.6013000000000001,-0.0003466431020861171,0.31481073984003344,1.0
2440,Matt Barnes,2015-16,0.686875,0.8221714749488398,0.7846714749488398,-0.00048044414455039423,0.5596157879354223,1.1969739398709223
2446,Rasual Butler,2015-16,0.8,0.8,0.7469,-1.7555958626267417e-05,0.10436001532424266,1.0
2449,Luis Scola,2015-16,0.8612105263157892,1.0488276723048975,1.0158276723048976,0.0009932717006959698,0.7608058290337602,1.2178528248972107
2544,LeBron James,2015-16,0.8696075949367089,1.0540813548929555,1.0555813548929556,0.028506923075707347,2.277267285009756,1.2121344857500616
2546,Carmelo Anthony,2015-16,0.8994117647058824,1.1030269645828539,1.100326964582854,0.019947150277489886,1.8840347453372257,1.226387076383814
2547,Chris Bosh,2015-16,1.0971818181818183,1.3401612978518922,1.3242612978518922,0.002861960649350191,0.6881346387364009,1.2214578073055609
2548,Dwyane Wade,2015-16,0.8110666666666667,0.9858307846849913,0.9888307846849913,0.01649643210086341,2.286455711064162,1.2154744180728974
2549,Chris Kaman,2015-16,1.142,1.142,1.1125999999999998,0.000339607481257104,0.3646431135879092,1.0
2550,Kirk Hinrich,2015-16,0.738,0.738,0.6819,-0.0020390816240567185,0.7884573603642702,1.0
2555,Nick Collison,2015-16,0.0,0.0,-0.058499999999999996,0.0,0.0,1.0
2561,David West,2015-16,0.6839999999999999,0.6839999999999999,0.6465,-0.000251397189829154,0.29266961396282,1.0
2563,Dahntay Jones,2015-16,2.0,2.0,1.9568,0.02276496993459725,1.0986122886681098,1.0
2564,Boris Diaw,2015-16,1.0,1.0,0.9592,0.0009922633389769675,0.9969486348916096,1.0
2570,Kendrick Perkins,2015-16,0.8,0.8,0.7409,-0.00010239801529383342,0.23901690047049992,1.0
2571,Leandro Barbosa,2015-16,0.8597272727272727,0.8597272727272727,0.8219272727272726,-0.0009215005114645242,0.8671004876833833,1.0
2581,Steve Blake,2015-16,0.7484375000000001,0.7484375000000001,0.7013375000000001,-0.0032046878603101056,0.9820784724121582,1.0
