PLAYER_NAME,SEASON,PORTABILITY_CLASS,PORTABILITY_SCORE,vol_ratio,eff_ratio,assisted_fgm_pct,open_shot_frequency,leverage_usg_delta,leverage_ts_delta,creation_volume_ratio,rim_appetite
Aaron Gordon,2018-19,medium,0.8070077505963863,1.012727988716273,0.99968732234224,0.6122881355932204,0.2650334075723831,-0.0809999999999999,-0.008,0.3877118644067796,0.0
Aaron Gordon,2020-21,low,0.7217194488569851,0.9338929474287648,0.9888466484038688,0.6021505376344086,0.2124248496993988,-0.0739999999999999,-0.06,0.3978494623655914,0.0
Aaron Gordon,2021-22,low,0.6852774029558403,1.073730491965007,0.8645114595898673,0.6993006993006993,0.2158273381294964,-0.078,0.0939999999999999,0.3006993006993007,0.0
Aaron Gordon,2022-23,low,0.5864251366904116,0.7498257469172284,1.0401132609721566,0.7224199288256228,0.1697944593386952,-0.033,0.044,0.2775800711743772,0.0
Aaron Gordon,2022-23,low,0.5956224553479853,0.7921891251380586,0.9999322851067864,0.7224199288256228,0.1697944593386952,-0.033,0.044,0.2775800711743772,0.0
Aaron Gordon,2022-23,low,0.49087384797089945,0.7607881116382404,0.8580934403020293,0.7224199288256228,0.1697944593386952,-0.033,0.044,0.2775800711743772,0.0
Aaron Gordon,2023-24,low,0.6134508361128262,0.8282693414055029,0.958906708304756,0.6996047430830039,0.2012072434607646,-0.0349999999999999,0.071,0.300395256916996,0.0
Aaron Gordon,2023-24,low,0.7933703560747027,0.8631523012707747,1.1900267307233474,0.6996047430830039,0.2012072434607646,-0.0349999999999999,0.071,0.300395256916996,0.0
Aaron Nesmith,2023-24,low,0.4482789381104109,0.9589615250651984,0.8196412001237242,0.7903225806451613,0.3470319634703195,0.004,-0.1099999999999999,0.2096774193548387,0.0
Aaron Nesmith,2023-24,low,0.47180639840386607,0.8219705424486566,1.0064314546973745,0.7903225806451613,0.3470319634703195,0.004,-0.1099999999999999,0.2096774193548387,0.0
Al Horford,2015-16,low,0.3714405223131778,0.8743397626193546,0.9218536102292256,0.9375573921028466,0.419859265050821,-0.013,0.031,0.0624426078971533,0.0
Al Horford,2016-17,low,0.6370374526151825,0.9120890977713134,1.2304446882119655,0.8110749185667752,0.3616298811544992,-0.049,0.006,0.1889250814332247,0.0
