player,season,star_potential,king_probability,bulldozer_probability,sniper_probability,victim_probability,predicted_archetype,actual_archetype,AGE,current_usage,CREATION_VOLUME_RATIO,LEVERAGE_USG_DELTA,LEVERAGE_TS_DELTA,EFG_ISO_WEIGHTED,is_star_predicted,is_star_actual,rank
Shai Gilgeous-Alexander,2020-21,0.17178178578615177,0.0667879804968833,0.1049938052892685,0.0089270174503326,0.8192912340164185,Victim (Fragile Role),,22.0,0.283,0.9104788341429564,0.17,0.054,0.5460990853658537,False,,1
Talen Horton-Tucker,2020-21,0.16773471981287,0.0657759681344032,0.1019587516784668,0.0080274939537048,0.8242377638816833,Victim (Fragile Role),,20.0,0.21,0.7205882352941178,0.065,0.2249999999999999,0.5295357142857143,False,,2
Cameron Payne,2018-19,0.15838435292243952,0.0625415220856666,0.0958428308367729,0.0161713380366563,0.8254442811012268,Victim (Fragile Role),,24.0,0.169,0.5961995249406176,0.0059999999999999,0.017,0.5400557768924303,False,,3
Derrick White,2018-19,0.1574713587760924,0.0665356367826461,0.0909357219934463,0.0092094847932457,0.8333191275596619,Victim (Fragile Role),King (Resilient Star),24.0,0.178,0.6570945945945945,0.06,0.1089999999999999,0.5114575835475579,False,True,4
Jalen Williams,2023-24,0.1446356251835822,0.0651875212788581,0.0794481039047241,0.0047301235608756,0.8506342768669128,Victim (Fragile Role),Victim (Fragile Role),23.0,0.232,0.6942291128337639,0.034,0.181,0.5307642679900746,False,False,5
Kevin Porter Jr.,2020-21,0.14282354712486262,0.0928632542490959,0.0499602928757667,0.0105576049536466,0.8466188907623291,Victim (Fragile Role),,21.0,0.247,0.7407087294727744,0.0389999999999999,0.2069999999999999,0.4928774795799299,False,,6
Kyrie Irving,2015-16,0.1326027559116482,0.118335522711277,0.0142672332003712,0.0060313227586448,0.8613659739494324,Victim (Fragile Role),King (Resilient Star),24.0,0.285,0.7768953068592058,0.044,0.0489999999999999,0.4853708178438661,False,True,7
Jalen Brunson,2019-20,0.1279556192457675,0.0680709779262542,0.0598846413195133,0.0195187609642744,0.8525255918502808,Victim (Fragile Role),,23.0,0.199,0.7021276595744681,0.0209999999999999,0.0499999999999999,0.5096005509641873,False,,8
Ja Morant,2023-24,0.1243508681654929,0.0659398734569549,0.058410994708538,0.0241626184433698,0.8514865636825562,Victim (Fragile Role),,24.0,0.296,0.8014796547472257,-0.0259999999999999,0.172,0.5039615384615385,False,,9
Collin Sexton,2022-23,0.12377823889255521,0.0462220087647438,0.0775562301278114,0.0195846315473318,0.8566371202468872,Victim (Fragile Role),,24.0,0.23,0.6693766937669376,-0.017,0.1149999999999999,0.5400728744939273,False,,10
