player,season,star_potential,king_probability,bulldozer_probability,sniper_probability,victim_probability,predicted_archetype,actual_archetype,AGE,current_usage,is_star_predicted,is_star_actual,rank
Jahmir Young,2024-25,0.0587710384279488,0.0289121009409427,0.0298589374870061,0.132916122674942,0.8083128929138184,Victim (Fragile Role),,24.0,0.092,False,,1
Jay Scrubb,2022-23,0.0560237728059291,0.0265305507928133,0.0294932220131158,0.1085867136716842,0.8353894948959351,Victim (Fragile Role),,22.0,0.151,False,,2
Grant Riller,2020-21,0.0545648951083421,0.0285880342125892,0.0259768608957529,0.1160727888345718,0.8293622732162476,Victim (Fragile Role),,24.0,0.22,False,,3
Mitchell Robinson,2019-20,0.0517028253525495,0.017683582380414,0.0340192429721355,0.0874486044049263,0.860848605632782,Victim (Fragile Role),,22.0,0.129,False,,4
Drew Eubanks,2019-20,0.0509913060814141,0.0261251349002122,0.0248661711812019,0.100054033100605,0.8489546775817871,Victim (Fragile Role),,23.0,0.15,False,,5
De'Aaron Fox,2021-22,0.0459721023216843,0.0441404841840267,0.0018316181376576,0.4105114936828613,0.5435163974761963,Victim (Fragile Role),,24.0,0.284,False,,6
Chris Silva,2020-21,0.045495452359318594,0.0233093630522489,0.0221860893070697,0.0892701894044876,0.865234375,Victim (Fragile Role),,24.0,0.151,False,,7
Lester Quinones,2022-23,0.044191783294081605,0.0230904892086982,0.0211012940853834,0.0987698957324028,0.8570383191108704,Victim (Fragile Role),,22.0,0.283,False,,8
Kevon Looney,2015-16,0.0441753007471561,0.0220859609544277,0.0220893397927284,0.0888808816671371,0.8669437766075134,Victim (Fragile Role),,20.0,0.14,False,,9
JD Davison,2022-23,0.0439412489067762,0.0416778847575187,0.0022633641492575,0.1811620593070984,0.7748967409133911,Victim (Fragile Role),,20.0,0.157,False,,10
JD Davison,2023-24,0.0439412489067762,0.0416778847575187,0.0022633641492575,0.1811620593070984,0.7748967409133911,Victim (Fragile Role),,21.0,0.16,False,,11
Cheick Diallo,2019-20,0.0436724219471215,0.0215714592486619,0.0221009626984596,0.0889276415109634,0.8673999309539795,Victim (Fragile Role),,23.0,0.169,False,,12
John Konchar,2019-20,0.0436724219471215,0.0215714592486619,0.0221009626984596,0.0889276415109634,0.8673999309539795,Victim (Fragile Role),,24.0,0.097,False,,13
Adem Bona,2024-25,0.0436724219471215,0.0215714592486619,0.0221009626984596,0.0889276415109634,0.8673999309539795,Victim (Fragile Role),,22.0,0.135,False,,14
Aaron Henry,2021-22,0.0430957176722585,0.0399761199951171,0.0031195976771414,0.1956256031990051,0.7612786889076233,Victim (Fragile Role),,22.0,0.149,False,,15
Rayjon Tucker,2021-22,0.0430957176722585,0.0399761199951171,0.0031195976771414,0.1956256031990051,0.7612786889076233,Victim (Fragile Role),,24.0,0.075,False,,16
KZ Okpala,2019-20,0.0428924988955258,0.0260357800871133,0.0168567188084125,0.2940183281898498,0.6630891561508179,Victim (Fragile Role),,21.0,0.102,False,,17
Markus Howard,2021-22,0.042887934250756994,0.039783377200365,0.003104557050392,0.1946823596954345,0.7624296545982361,Victim (Fragile Role),,23.0,0.264,False,,18
Justin Robinson,2019-20,0.0428370514418929,0.0397361777722835,0.0031008736696094,0.200453519821167,0.7567093968391418,Victim (Fragile Role),,22.0,0.133,False,,19
Spencer Dinwiddie,2016-17,0.0421995336655526,0.0409922301769256,0.001207303488627,0.1079102307558059,0.8498902320861816,Victim (Fragile Role),,24.0,0.14,False,,20
Keon Ellis,2022-23,0.0419920291751622,0.0254932641983032,0.016498764976859,0.1025929823517799,0.8554149866104126,Victim (Fragile Role),,23.0,0.124,False,,21
Chris Silva,2019-20,0.0415191166102885,0.0256941225379705,0.015824994072318,0.0984033420681953,0.8600775599479675,Victim (Fragile Role),,23.0,0.155,False,,22
Daniss Jenkins,2024-25,0.0409296434372662,0.0255755372345447,0.0153541062027215,0.2254539430141449,0.7336164116859436,Victim (Fragile Role),,23.0,0.231,False,,23
Adama Sanogo,2023-24,0.0408438993617891,0.0255801491439342,0.0152637502178549,0.1953041553497314,0.7638520002365112,Victim (Fragile Role),,22.0,0.21,False,,24
Devin Robinson,2018-19,0.0407841745764016,0.0201166793704032,0.0206674952059984,0.0871424078941345,0.8720734715461731,Victim (Fragile Role),,24.0,0.176,False,,25
Mitchell Robinson,2021-22,0.040607975795865,0.0182920433580875,0.0223159324377775,0.0909178704023361,0.8684741854667664,Victim (Fragile Role),,24.0,0.11,False,,26
Elie Okobo,2019-20,0.0404580209869891,0.0383740738034248,0.0020839471835643,0.2776520252227783,0.6818900108337402,Victim (Fragile Role),,22.0,0.147,False,,27
Malachi Flynn,2021-22,0.0404580209869891,0.0383740738034248,0.0020839471835643,0.2776520252227783,0.6818900108337402,Victim (Fragile Role),,24.0,0.157,False,,28
Chris McCullough,2015-16,0.0403688857331871,0.0252826530486345,0.0150862326845526,0.2159356027841568,0.7436954975128174,Victim (Fragile Role),,21.0,0.158,False,,29
Christian Wood,2015-16,0.0403688857331871,0.0252826530486345,0.0150862326845526,0.2159356027841568,0.7436954975128174,Victim (Fragile Role),,20.0,0.185,False,,30
Daryl Macon,2018-19,0.0403012291062622,0.0373839177191257,0.0029173113871365,0.3160991668701172,0.6435995697975159,Victim (Fragile Role),,23.0,0.167,False,,31
Karim Mane,2020-21,0.0403012291062622,0.0373839177191257,0.0029173113871365,0.3160991668701172,0.6435995697975159,Victim (Fragile Role),,21.0,0.085,False,,32
Brandon Goodwin,2018-19,0.0403012291062622,0.0373839177191257,0.0029173113871365,0.3160991668701172,0.6435995697975159,Victim (Fragile Role),,23.0,0.22,False,,33
Tremont Waters,2021-22,0.0403012291062622,0.0373839177191257,0.0029173113871365,0.3160991668701172,0.6435995697975159,Victim (Fragile Role),,24.0,0.15,False,,34
Cheick Diallo,2018-19,0.04016749933362,0.0226856134831905,0.0174818858504295,0.1411185413599014,0.8187139630317688,Victim (Fragile Role),,22.0,0.155,False,,35
Kay Felder,2016-17,0.0401368222665041,0.0372314117848873,0.0029054104816168,0.3148096799850464,0.645053505897522,Victim (Fragile Role),,22.0,0.243,False,,36
Sean McDermott,2020-21,0.0399188864976167,0.0250008217990398,0.0149180646985769,0.213528499007225,0.7465526461601257,Victim (Fragile Role),,24.0,0.101,False,,37
Alex Poythress,2016-17,0.0399188864976167,0.0250008217990398,0.0149180646985769,0.213528499007225,0.7465526461601257,Victim (Fragile Role),,23.0,0.162,False,,38
Alex Poythress,2017-18,0.0399188864976167,0.0250008217990398,0.0149180646985769,0.213528499007225,0.7465526461601257,Victim (Fragile Role),,24.0,0.112,False,,39
Derrick Jones Jr.,2017-18,0.0399188864976167,0.0250008217990398,0.0149180646985769,0.213528499007225,0.7465526461601257,Victim (Fragile Role),,21.0,0.124,False,,40
Christian Wood,2016-17,0.0399188864976167,0.0250008217990398,0.0149180646985769,0.213528499007225,0.7465526461601257,Victim (Fragile Role),,21.0,0.15,False,,41
Henry Ellenson,2020-21,0.0399188864976167,0.0250008217990398,0.0149180646985769,0.213528499007225,0.7465526461601257,Victim (Fragile Role),,24.0,0.167,False,,42
