player,season,star_potential,king_probability,bulldozer_probability,sniper_probability,victim_probability,predicted_archetype,actual_archetype,AGE,current_usage,CREATION_VOLUME_RATIO,LEVERAGE_USG_DELTA,LEVERAGE_TS_DELTA,EFG_ISO_WEIGHTED,is_star_predicted,is_star_actual,rank
Talen Horton-Tucker,2020-21,0.6872363090515137,0.0639362335205078,0.6233000755310059,0.0070977332070469,0.3056659698486328,Bulldozer (Fragile Star),,20.0,0.21,0.7205882352941178,0.065,0.2249999999999999,0.5295357142857143,True,,1
Malcolm Brogdon,2016-17,0.6302070170640945,0.1317949444055557,0.4984120726585388,0.0126122599467635,0.3571806848049164,Bulldozer (Fragile Star),Victim (Fragile Role),24.0,0.182,0.5222381635581061,0.0229999999999999,0.0219999999999999,0.4393324175824176,True,False,2
Cameron Payne,2018-19,0.6288987100124359,0.0898448526859283,0.5390538573265076,0.0168612673878669,0.3542400300502777,Bulldozer (Fragile Star),,24.0,0.169,0.5961995249406176,0.0059999999999999,0.017,0.5400557768924303,True,,3
Spencer Dinwiddie,2016-17,0.6270191371440887,0.2442102134227752,0.3828089237213135,0.0080100018531084,0.3649708926677704,Bulldozer (Fragile Star),,24.0,0.14,0.7365728900255754,0.093,0.218,0.4643402777777777,True,,4
Tyler Herro,2019-20,0.6167580671608447,0.0376667566597461,0.5790913105010986,0.0090707875788211,0.374171108007431,Bulldozer (Fragile Star),King (Resilient Star),20.0,0.213,0.53125,-0.0209999999999999,0.1139999999999999,0.4724258823529412,True,True,5
Kyrie Irving,2015-16,0.5902596712112426,0.1962684392929077,0.3939912319183349,0.0104094063863158,0.3993309438228607,Victim (Fragile Role),King (Resilient Star),24.0,0.285,0.7768953068592058,0.044,0.0489999999999999,0.4853708178438661,False,True,6
Derrick White,2018-19,0.588404543697834,0.0727134421467781,0.5156911015510559,0.0098545458167791,0.4017408788204193,Bulldozer (Fragile Star),King (Resilient Star),24.0,0.178,0.6570945945945945,0.06,0.1089999999999999,0.5114575835475579,True,True,7
Jalen Suggs,2022-23,0.5871473178267478,0.1056137308478355,0.4815335869789123,0.0074574085883796,0.4053952693939209,Bulldozer (Fragile Star),,22.0,0.196,0.5578124999999999,0.0449999999999999,0.0699999999999999,0.4764201680672268,True,,8
Alec Burks,2015-16,0.5834058672189713,0.1278167217969894,0.4555891454219818,0.0135740721598267,0.4030200839042663,Bulldozer (Fragile Star),,24.0,0.246,0.7174211248285322,0.03,0.0629999999999999,0.4816558317399617,True,,9
Jalen Green,2021-22,0.5789613425731659,0.0554814040660858,0.5234799385070801,0.0133536551147699,0.4076850116252899,Bulldozer (Fragile Star),,20.0,0.234,0.5667259786476868,-0.031,0.0319999999999999,0.4591758241758241,True,,10
