player,season,star_potential,king_probability,bulldozer_probability,sniper_probability,victim_probability,predicted_archetype,actual_archetype,AGE,current_usage,is_star_predicted,is_star_actual,rank
Kel'el Ware,2024-25,0.4191928654909133,0.0326123088598251,0.3865805566310882,0.0132467150688171,0.5675604343414307,Victim (Fragile Role),,21.0,0.169,False,,557
Cade Cunningham,2024-25,0.4190489649772644,0.120464026927948,0.2985849380493164,0.0138011425733566,0.5671499371528625,Victim (Fragile Role),,23.0,0.323,False,,558
Quenton Jackson,2022-23,0.41880741715431213,0.0763089060783386,0.3424985110759735,0.0108602903783321,0.5703322887420654,Victim (Fragile Role),,24.0,0.164,False,,559
Jordan Nwora,2020-21,0.4185470417141914,0.0803780630230903,0.3381689786911011,0.0104779275134205,0.5709750056266785,Victim (Fragile Role),,22.0,0.254,False,,560
Yuki Kawamura,2024-25,0.4185470417141914,0.0803780630230903,0.3381689786911011,0.0104779275134205,0.5709750056266785,Victim (Fragile Role),,24.0,0.167,False,,561
Colby Jones,2024-25,0.4185470417141914,0.0803780630230903,0.3381689786911011,0.0104779275134205,0.5709750056266785,Victim (Fragile Role),,23.0,0.138,False,,562
Chris Clemons,2019-20,0.4185470417141914,0.0803780630230903,0.3381689786911011,0.0104779275134205,0.5709750056266785,Victim (Fragile Role),,22.0,0.235,False,,563
Zion Williamson,2024-25,0.4184199348092078,0.0653745308518409,0.3530454039573669,0.0176105964928865,0.5639694929122925,Victim (Fragile Role),,24.0,0.325,False,,564
Chris McCullough,2015-16,0.41811202466487885,0.0774511247873306,0.3406608998775482,0.0108020221814513,0.5710859298706055,Victim (Fragile Role),,21.0,0.158,False,,565
Christian Wood,2015-16,0.41811202466487885,0.0774511247873306,0.3406608998775482,0.0108020221814513,0.5710859298706055,Victim (Fragile Role),,20.0,0.185,False,,566
Jerian Grant,2015-16,0.4180881977081299,0.2258179932832718,0.1922702044248581,0.0212292205542325,0.5606825947761536,Victim (Fragile Role),,23.0,0.185,False,,567
Nassir Little,2023-24,0.4180063083767891,0.0743545964360237,0.3436517119407654,0.0097411051392555,0.572252631187439,Victim (Fragile Role),,24.0,0.132,False,,568
Daniel Oturu,2020-21,0.4180063083767891,0.0743545964360237,0.3436517119407654,0.0097411051392555,0.572252631187439,Victim (Fragile Role),,21.0,0.174,False,,569
James Young,2016-17,0.4179836958646773,0.0762794762849807,0.3417042195796966,0.0099932830780744,0.5720229744911194,Victim (Fragile Role),,21.0,0.125,False,,570
Keon Johnson,2024-25,0.41792643070220936,0.1052957475185394,0.31263068318367,0.024530604481697,0.5575429797172546,Victim (Fragile Role),,23.0,0.212,False,,571
Anthony Black,2024-25,0.4177427068352699,0.1160480752587318,0.3016946315765381,0.0254812370985746,0.5567760467529297,Victim (Fragile Role),,21.0,0.19,False,,572
Jonathan Kuminga,2024-25,0.41755049675703043,0.0885720178484916,0.3289784789085388,0.0177770499140024,0.5646724700927734,Victim (Fragile Role),,22.0,0.271,False,,573
Isaiah Hicks,2018-19,0.4175237491726875,0.0742687657475471,0.3432549834251404,0.0108842784538865,0.5715919733047485,Victim (Fragile Role),,24.0,0.153,False,,574
Thon Maker,2020-21,0.4175237491726875,0.0742687657475471,0.3432549834251404,0.0108842784538865,0.5715919733047485,Victim (Fragile Role),,24.0,0.145,False,,575
Wayne Selden,2016-17,0.4175237491726875,0.0742687657475471,0.3432549834251404,0.0108842784538865,0.5715919733047485,Victim (Fragile Role),,22.0,0.159,False,,576
Alex Fudge,2023-24,0.4175237491726875,0.0742687657475471,0.3432549834251404,0.0108842784538865,0.5715919733047485,Victim (Fragile Role),,21.0,0.176,False,,577
Tyler Bey,2020-21,0.4175237491726875,0.0742687657475471,0.3432549834251404,0.0108842784538865,0.5715919733047485,Victim (Fragile Role),,23.0,0.143,False,,578
Leonard Miller,2024-25,0.4175237491726875,0.0742687657475471,0.3432549834251404,0.0108842784538865,0.5715919733047485,Victim (Fragile Role),,21.0,0.239,False,,579
Josh Green,2020-21,0.4175237491726875,0.0742687657475471,0.3432549834251404,0.0108842784538865,0.5715919733047485,Victim (Fragile Role),,20.0,0.112,False,,580
Anthony Brown,2016-17,0.4175237491726875,0.0742687657475471,0.3432549834251404,0.0108842784538865,0.5715919733047485,Victim (Fragile Role),,24.0,0.152,False,,581
Jalen Slawson,2023-24,0.4175237491726875,0.0742687657475471,0.3432549834251404,0.0108842784538865,0.5715919733047485,Victim (Fragile Role),,24.0,0.088,False,,582
Kenneth Lofton Jr.,2023-24,0.4175237491726875,0.0742687657475471,0.3432549834251404,0.0108842784538865,0.5715919733047485,Victim (Fragile Role),,21.0,0.207,False,,583
Carsen Edwards,2020-21,0.4175237491726875,0.0742687657475471,0.3432549834251404,0.0108842784538865,0.5715919733047485,Victim (Fragile Role),,23.0,0.187,False,,584
Cameron McGriff,2021-22,0.4175237491726875,0.0742687657475471,0.3432549834251404,0.0108842784538865,0.5715919733047485,Victim (Fragile Role),,24.0,0.122,False,,585
Luis Montero,2015-16,0.4175237491726875,0.0742687657475471,0.3432549834251404,0.0108842784538865,0.5715919733047485,Victim (Fragile Role),,23.0,0.255,False,,586
Thanasis Antetokounmpo,2015-16,0.4175237491726875,0.0742687657475471,0.3432549834251404,0.0108842784538865,0.5715919733047485,Victim (Fragile Role),,23.0,0.286,False,,587
