player,season,star_potential,king_probability,bulldozer_probability,sniper_probability,victim_probability,predicted_archetype,actual_archetype,AGE,current_usage,CREATION_VOLUME_RATIO,LEVERAGE_USG_DELTA,LEVERAGE_TS_DELTA,EFG_ISO_WEIGHTED,is_star_predicted,is_star_actual,rank
Dejounte Murray,2020-21,0.2042920533567666,0.0215710643678903,0.1827209889888763,0.0093145035207271,0.786393404006958,Victim (Fragile Role),,24.0,0.231,0.7189324437030858,-0.05,0.0729999999999999,0.4842645011600928,False,,135
Brandon Boston,2024-25,0.1968373656272887,0.1017662584781646,0.0950711071491241,0.0141871804371476,0.7889754772186279,Victim (Fragile Role),,23.0,0.199,0.5946745562130177,-0.015,0.0359999999999999,0.4022014925373134,False,,136
Emmanuel Mudiay,2016-17,0.1948002949357032,0.1434604674577713,0.0513398274779319,0.005976490676403,0.7992232441902161,Victim (Fragile Role),,21.0,0.222,0.5670498084291187,0.0599999999999999,0.135,0.3897837837837837,False,,137
D'Angelo Russell,2018-19,0.1908771470189094,0.0530014410614967,0.1378757059574127,0.0064858398400247,0.802636981010437,Victim (Fragile Role),,23.0,0.311,0.7520927237604637,0.0339999999999999,0.022,0.4816883561643836,False,,138
Stanley Johnson,2016-17,0.18935814499855042,0.1139214038848877,0.0754367411136627,0.0272200014442205,0.7834218740463257,Victim (Fragile Role),,21.0,0.144,0.3930635838150289,0.002,0.199,0.3804926470588236,False,,139
Cole Anthony,2021-22,0.1874143928289412,0.0337112843990325,0.1537031084299087,0.0092342579737305,0.8033512830734253,Victim (Fragile Role),,22.0,0.245,0.6422558922558923,0.091,0.0699999999999999,0.4129685452162516,False,,140
Coby White,2020-21,0.1867801137268542,0.0173846222460269,0.1693954914808273,0.006089492700994,0.8071303963661194,Victim (Fragile Role),,21.0,0.219,0.5281818181818182,-0.032,0.1149999999999999,0.4963493975903614,False,,141
Daishen Nix,2022-23,0.1841364726424216,0.1220871582627296,0.062049314379692,0.0173349268734455,0.7985285520553589,Victim (Fragile Role),,21.0,0.149,0.4716417910447761,0.051,0.3989999999999999,0.3721962025316456,False,,142
Jaden Ivey,2022-23,0.1803382895886897,0.0220440588891506,0.1582942306995391,0.0061702472157776,0.8134915232658386,Victim (Fragile Role),,21.0,0.251,0.7055606198723792,0.001,0.0669999999999999,0.4158966408268733,False,,143
Scottie Barnes,2021-22,0.176689832471311,0.0148059418424963,0.1618838906288147,0.0040548341348767,0.8192552924156189,Victim (Fragile Role),,20.0,0.187,0.4274509803921569,-0.032,0.0329999999999999,0.4719655963302752,False,,144
KJ Simpson,2024-25,0.1759788841009139,0.1203502640128135,0.0556286200881004,0.0158136002719402,0.8082075119018555,Victim (Fragile Role),,22.0,0.188,0.6228571428571428,0.039,0.0479999999999999,0.3726009174311927,False,,145
Patrick McCaw,2019-20,0.1741978153586387,0.1001986488699913,0.0739991664886474,0.014917466789484,0.8108847141265869,Victim (Fragile Role),,24.0,0.093,0.337950138504155,0.006,0.833,0.3863606557377049,False,,146
Paolo Banchero,2022-23,0.169738920405507,0.0237508136779069,0.1459881067276001,0.0067973504774272,0.8234637379646301,Victim (Fragile Role),,20.0,0.272,0.6732673267326733,-0.016,0.0529999999999999,0.4487860962566845,False,,147
Trae Young,2018-19,0.166365586221218,0.0662200301885604,0.1001455560326576,0.0075597381219267,0.8260746598243713,Victim (Fragile Role),,20.0,0.277,0.8368000000000001,0.0929999999999999,0.006,0.4600736137667303,False,,148
Tyler Dorsey,2017-18,0.1546647548675536,0.0843219384551048,0.0703428164124488,0.0149276629090309,0.8304075598716736,Victim (Fragile Role),,22.0,0.193,0.4601113172541743,-0.05,0.012,0.402899193548387,False,,149
Lonnie Walker IV,2019-20,0.14871256798505778,0.0675196051597595,0.0811929628252983,0.0126479910686612,0.838639497756958,Victim (Fragile Role),,21.0,0.183,0.4680306905370844,-0.04,0.046,0.3910983606557377,False,,150
Markel Brown,2015-16,0.1451299712061881,0.0700185671448707,0.0751114040613174,0.0326051190495491,0.8222649693489075,Victim (Fragile Role),,24.0,0.183,0.3242506811989101,-0.0119999999999999,0.235,0.3649327731092437,False,,151
Frank Ntilikina,2017-18,0.1433934718370436,0.1138381585478782,0.0295553132891654,0.0704121813178062,0.7861943244934082,Victim (Fragile Role),,19.0,0.166,0.608,0.0219999999999999,0.02,0.3502565789473684,False,,152
Josh Jackson,2018-19,0.1427562460303306,0.0485814660787582,0.0941747799515724,0.0084855016320943,0.8487582802772522,Victim (Fragile Role),,22.0,0.234,0.5730337078651685,-0.003,0.2029999999999999,0.3852745098039216,False,,153
OG Anunoby,2021-22,0.1387698911130427,0.0577443651854991,0.0810255259275436,0.0170592423528432,0.844170868396759,Victim (Fragile Role),,24.0,0.204,0.3855743544078361,0.011,0.007,0.3650300230946882,False,,154
Saddiq Bey,2021-22,0.137316295877099,0.0280403885990381,0.1092759072780609,0.0073779406957328,0.8553057909011841,Victim (Fragile Role),,23.0,0.209,0.3201189296333003,0.0,0.1039999999999999,0.3698328173374613,False,,155
Jaden Springer,2024-25,0.1344431564211844,0.0559307634830474,0.078512392938137,0.0145039828494191,0.8510528802871704,Victim (Fragile Role),,22.0,0.139,0.3865030674846626,-0.03,0.0889999999999999,0.3896984126984126,False,,156
Nick Smith Jr.,2023-24,0.1328394003212451,0.0603127516806125,0.0725266486406326,0.0106364767998456,0.8565241098403931,Victim (Fragile Role),,20.0,0.202,0.4608695652173913,-0.039,0.0889999999999999,0.4011509433962263,False,,157
Aleksej Pokusevski,2020-21,0.1298091784119605,0.1066313832998275,0.023177795112133,0.0398302488029003,0.8303605914115906,Victim (Fragile Role),,19.0,0.197,0.3125925925925926,0.0859999999999999,0.0399999999999999,0.2943791469194313,False,,158
Brandon Miller,2024-25,0.1255693659186362,0.0373592376708984,0.0882101282477378,0.0137411067262291,0.8606895208358765,Victim (Fragile Role),,22.0,0.27,0.4380222841225626,-0.037,0.0309999999999999,0.3706502384737679,False,,159
Malaki Branham,2023-24,0.1202599965035915,0.0491344146430492,0.0711255818605423,0.0085089113563299,0.8712311387062073,Victim (Fragile Role),,21.0,0.192,0.3627118644067796,0.0229999999999999,0.2039999999999999,0.3986542056074766,False,,160
Luguentz Dort,2022-23,0.1187226930633187,0.0141237312927842,0.1045989617705345,0.0045523555018007,0.8767249584197998,Victim (Fragile Role),,24.0,0.194,0.3584499461786868,-0.042,0.02,0.4367447447447447,False,,161
Justise Winslow,2019-20,0.1130113583058118,0.0905419513583183,0.0224694069474935,0.0484111495316028,0.8385775089263916,Victim (Fragile Role),,24.0,0.19,0.5211912943871706,0.032,0.0559999999999999,0.309945054945055,False,,162
RJ Barrett,2021-22,0.1124144569039344,0.0483690649271011,0.0640453919768333,0.0108741493895649,0.8767114281654358,Victim (Fragile Role),,22.0,0.268,0.5664335664335665,0.0169999999999999,0.051,0.4067709190672153,False,,163
Julius Randle,2015-16,0.10875018686056132,0.0418556705117225,0.0668945163488388,0.0076661608181893,0.883583664894104,Victim (Fragile Role),,21.0,0.209,0.4919708029197081,-0.0489999999999999,0.0899999999999999,0.3901513353115727,False,,164
Frank Ntilikina,2022-23,0.0979470163583755,0.0440312623977661,0.0539157539606094,0.0283228009939193,0.8737301230430603,Victim (Fragile Role),,24.0,0.125,0.3777777777777777,-0.044,0.0389999999999999,0.3611882352941176,False,,165
Theo Maledon,2020-21,0.09760617464780799,0.0351964570581913,0.0624097175896167,0.0066528962925076,0.8957408666610718,Victim (Fragile Role),,20.0,0.188,0.5523809523809524,-0.041,0.2339999999999999,0.3957881773399014,False,,166
Aaron Gordon,2019-20,0.0956224147230386,0.018369348719716,0.0772530660033226,0.005156410858035,0.8992211818695068,Victim (Fragile Role),,24.0,0.205,0.394291754756871,-0.0419999999999999,0.2289999999999999,0.3899946380697051,False,,167
Shabazz Napier,2015-16,0.09152012318372721,0.0600186102092266,0.0315015129745006,0.0575708299875259,0.8509090542793274,Victim (Fragile Role),,24.0,0.196,0.5734265734265734,0.0,0.29,0.3224268292682927,False,,168
Dyson Daniels,2022-23,0.0840728059411048,0.0521974116563797,0.0318753942847251,0.0386858619749546,0.877241313457489,Victim (Fragile Role),,20.0,0.113,0.4057971014492754,0.001,0.012,0.3411428571428571,False,,169
Marcus Smart,2017-18,0.0837286934256552,0.036682654172182,0.0470460392534732,0.0095627149567008,0.906708598136902,Victim (Fragile Role),Victim (Fragile Role),24.0,0.187,0.4974747474747474,-0.046,0.046,0.3909670050761421,False,False,170
Isaac Okoro,2020-21,0.0520958304405212,0.0141238011419773,0.0379720292985439,0.0034583786036819,0.944445788860321,Victim (Fragile Role),,20.0,0.142,0.3709150326797386,-0.0359999999999999,0.0749999999999999,0.385136563876652,False,,171
Cam Reddish,2020-21,0.0516208633780478,0.0312559083104133,0.0203649550676345,0.0296201612800359,0.9187590479850768,Victim (Fragile Role),,21.0,0.183,0.3118881118881119,-0.036,0.018,0.2845067264573991,False,,172
Marcus Smart,2016-17,0.0355696417391299,0.0200828462839126,0.0154867954552173,0.0162759181112051,0.9481544494628906,Victim (Fragile Role),Victim (Fragile Role),23.0,0.183,0.3588709677419355,-0.0489999999999999,0.12,0.3485318352059925,False,False,173
