PLAYER_ID,SEASON,RS_MEDIAN_SHOT_DISTANCE,PO_MEDIAN_SHOT_DISTANCE,SHOT_DISTANCE_DELTA,RS_SPATIAL_VARIANCE,PO_SPATIAL_VARIANCE,SPATIAL_VARIANCE_DELTA,PO_EFG_BEYOND_RS_MEDIAN,RS_SHOTS,PO_SHOTS,RESILIENCE_SCORE
204001,2023-24,13.0,19.0,6.0,133.526139716821,141.01675081811888,7.490611101297873,0.5365853658536586,752,60,0.5896904797336762
203076,2023-24,4.0,4.0,0.0,93.71730429992078,78.44549627561804,-15.271808024302743,0.4772727272727273,1283,93,0.6992782427632744
203999,2023-24,6.0,6.0,0.0,109.38808600286366,115.04509761652909,5.657011613665432,0.45132743362831856,1411,244,0.7465889037693347
203954,2023-24,12.0,14.0,2.0,111.17650134898814,134.1133847802514,22.93688343126327,0.53125,851,133,0.6148786994124205
1628978,2023-24,24.0,23.0,-1.0,183.71648838709535,164.56371472110945,-19.152773665985904,0.6375,1004,191,0.7100833580040846
1626167,2023-24,9.0,17.0,8.0,130.0364255095874,139.1729296666011,9.136504157013718,0.6023622047244095,909,205,0.5461258569476815
1629008,2023-24,22.0,23.0,1.0,161.51642382211458,158.25344710031072,-3.2629767218038523,0.64,1079,146,0.8064221396691769
201572,2023-24,22.0,8.0,-14.0,155.3021942390875,132.40902367115902,-22.89317056792848,0.6818181818181818,755,75,0.43536824931970186
1628386,2023-24,2.0,1.0,-1.0,52.30178761342787,51.03099217301347,-1.2707954404143962,0.5384615384615384,819,37,0.777759842742129
1629622,2023-24,24.0,25.0,1.0,179.70650656422853,173.70616870964088,-6.000337854587656,0.5277777777777778,728,103,0.7451090839835852
1630530,2023-24,25.0,24.0,-1.0,178.75409611118258,170.13273265265025,-8.621363458532329,0.32142857142857145,621,48,0.6468432478202346
1631096,2023-24,9.0,11.0,2.0,134.69573824699097,142.5090836116629,7.813345364671932,0.43846153846153846,1000,119,0.6685045431965838
1629023,2023-24,22.0,22.0,0.0,156.7380860356947,179.0997597093745,22.361673673679803,0.5357142857142857,811,234,0.6801156722436354
1630596,2023-24,3.0,3.0,0.0,90.0023590234743,91.18611312699052,1.1837541035162218,0.39285714285714285,552,146,0.7500403325217598
1626157,2023-24,8.0,8.0,0.0,130.5033795829532,145.0538961248959,14.550516541942727,0.5092592592592593,951,232,0.7164006044520473
203497,2023-24,1.0,1.0,0.0,43.11270116605133,35.400623773528224,-7.712077392523106,0.4,614,104,0.7137275356448614
201142,2023-24,14.0,13.0,-1.0,134.09698928971505,125.8096079004794,-8.287381389235648,0.5576923076923077,1436,67,0.7433526347415093
1628384,2023-24,16.0,12.0,-4.0,160.80083460716273,143.48140819044986,-17.319426416712872,0.6458333333333334,577,111,0.6344167748330561
202331,2023-24,20.0,22.0,2.0,148.49246691367065,157.23828323778375,8.745816324113093,0.56,1236,95,0.7115251020553215
1629675,2023-24,11.0,12.5,1.5,154.37598751149514,157.14217088974195,2.766183378246808,0.5136986301369864,851,142,0.7438823517853137
202685,2023-24,5.0,3.0,-2.0,107.31632451633816,69.84342036424432,-37.47290415209383,0.6363636363636364,719,42,0.5697080296328916
1628976,2023-24,8.0,22.0,14.0,145.76154135003156,162.7360734509106,16.97453210087903,0.43548387096774194,425,47,0.3723463557818226
203501,2023-24,23.0,23.0,0.0,170.85553616776988,180.57136664294444,9.715830475174556,0.54,976,58,0.7577050171489526
1630573,2023-24,25.0,24.0,-1.0,192.13555159121452,200.7172923294002,8.581740738185687,0.5357142857142857,558,84,0.7327952698566002
1628389,2023-24,7.0,10.0,3.0,81.0303745190722,96.14666318663586,15.116288667563666,0.43859649122807015,1017,97,0.5947408644858461
1627783,2023-24,6.0,9.0,3.0,115.1722745269685,114.33288614112209,-0.8393883858464051,0.5174418604651163,1271,290,0.7119404138709681
1627736,2023-24,23.0,23.0,0.0,193.13655049526332,177.65111739641586,-15.485433098847466,0.631578947368421,722,41,0.7597189803542836
1629060,2023-24,10.0,7.5,-2.5,144.56636428983,148.0844449797149,3.518080689884897,0.4722222222222222,676,38,0.6927804047495795
1626171,2023-24,12.0,11.0,-1.0,140.33111803712958,121.04748056813305,-19.28363746899653,0.45588235294117646,918,91,0.6366511163624915
201569,2023-24,24.0,23.0,-1.0,172.329064466513,176.457074684891,4.128010218378023,0.9545454545454546,618,28,0.9270501205079138
1626162,2023-24,7.0,5.5,-1.5,143.53658278657494,142.82358658471168,-0.7129962018632625,0.5,878,64,0.7507220227888205
1629130,2023-24,24.0,25.5,1.5,178.87480057484393,166.7341071886613,-12.140693386182619,0.375,675,16,0.6321558396829043
2544,2023-24,6.0,3.0,-3.0,131.4953063190631,125.55533864908303,-5.939967669980078,0.5348837209302325,1269,99,0.6883136823522126
1627741,2023-24,24.0,25.0,1.0,167.39382357398938,191.1619655130788,23.768141939089418,0.6666666666666666,850,17,0.6940578150321302
1628401,2023-24,23.0,24.0,1.0,161.87712047381768,170.06443525008237,8.187314776264685,0.6333333333333333,839,241,0.7742094446757453
1629652,2023-24,23.0,24.0,1.0,172.75038658122898,178.06470199126522,5.314315410036244,0.6195652173913043,657,91,0.7859401944963044
203932,2023-24,2.0,2.0,0.0,113.52980979046819,122.16687699677085,8.63706720630266,0.5545454545454546,716,118,0.7699957785803658
201143,2023-24,23.0,23.0,0.0,176.5409686595095,185.301666781056,8.760698121546511,0.5390625,419,138,0.7630608112707209
1629639,2023-24,17.0,24.0,7.0,145.68580405871904,155.19315411742582,9.507350058706777,0.5,735,78,0.5329558996477594
1627759,2023-24,11.0,8.0,-3.0,137.8274787015399,137.14910052404454,-0.6783781774953468,0.47333333333333333,1256,339,0.6952630642683613
203468,2023-24,22.0,14.5,-7.5,151.95116173546592,148.36639071606916,-3.5847710193967544,0.40384615384615385,1055,74,0.515029835422081
1626156,2023-24,22.0,24.0,2.0,150.85071196260841,156.21816327101226,5.367451308403844,0.45348837209302323,1080,73,0.6891906409867863
1627826,2023-24,3.0,3.0,0.0,38.51538092133443,46.36217357627181,7.846792654937374,0.5454545454545454,519,70,0.7711010622521939
1630167,2023-24,6.0,9.0,3.0,158.3331442657906,154.58126681019812,-3.751877455592478,0.52,579,135,0.6954887352664452
202695,2023-24,12.0,9.0,-3.0,130.34808098487875,122.45791942126694,-7.890161563611812,0.0,1162,24,0.46265903061832914
202711,2023-24,19.0,23.0,4.0,161.83570713641913,167.9584036668569,6.122696530437764,0.6,681,24,0.6832638208173734
1630174,2023-24,22.0,22.0,0.0,167.608309588919,167.958751027167,0.3504414382479979,0.38571428571428573,635,141,0.7521830656562263
1630532,2023-24,5.0,7.0,2.0,131.75641325538302,133.3283898759959,1.5719766206128725,0.4152542372881356,1096,103,0.696669835191577
1629655,2023-24,2.0,1.0,-1.0,34.47882842309708,35.198322373481155,0.7194939503840772,0.3548387096774194,480,123,0.7076185201686633
202699,2023-24,9.0,11.0,2.0,129.164026061533,144.8505165916323,15.686490530099292,0.41379310344827586,951,51,0.6113982981987145
1630581,2023-24,6.0,17.0,11.0,131.52109084798437,165.15553466544992,33.63444381746555,0.5,847,75,0.2981933370952067
203994,2023-24,2.0,2.0,0.0,94.49787429016199,73.87329068698021,-20.624583603181776,0.18181818181818182,627,26,0.5489797711081821
202681,2023-24,14.0,11.5,-2.5,143.5653487103634,138.42802695309703,-5.137321757266363,0.5701219512195121,1131,398,0.7222248499442065
1630591,2023-24,23.0,24.0,1.0,165.83044676945175,165.0760325034382,-0.7544142660135549,0.4666666666666667,714,82,0.7521401810705853
1627777,2023-24,23.0,23.0,0.0,178.49669224894427,167.8808447940994,-10.615847454844868,0.2647058823529412,632,41,0.6421872682121073
1626220,2023-24,25.0,25.0,0.0,186.44275566160078,189.32169877672666,2.878943115125878,0.42857142857142855,539,22,0.7541549127378162
1630241,2023-24,25.0,25.0,0.0,184.18736728678584,185.93995005009154,1.7525827633056963,0.34615384615384615,461,29,0.7279460418817043
1630529,2023-24,19.0,22.0,3.0,164.36052087409897,179.93624209567173,15.575721221572763,0.5,588,41,0.6165456726705634
1641726,2023-24,1.0,1.0,0.0,40.502293837198486,32.66043697406796,-7.841856863130523,0.44285714285714284,321,95,0.730091715964074
203078,2023-24,13.0,11.0,-2.0,141.64478680233367,148.50778316252666,6.862996360192994,0.5517241379310345,735,59,0.7195116770112557
1631170,2023-24,6.0,8.0,2.0,138.1890627450295,125.87538877495415,-12.313673970075357,0.38333333333333336,718,52,0.6194512895128812
1629021,2023-24,2.0,1.5,-0.5,113.07880464116927,119.53033419869114,6.451529557521866,0.375,552,36,0.6962908226548689
1628997,2023-24,15.0,23.0,8.0,160.14542062735148,163.4094195076844,3.263998880332906,0.6290322580645161,559,45,0.592028909943809
1627884,2023-24,11.0,6.0,-5.0,162.61461378375233,155.7940094752195,-6.820604308532836,0.5522388059701493,495,160,0.6299718965368627
1630198,2023-24,24.0,23.0,-1.0,179.53402573569338,189.14921880394843,9.615193068255053,0.42857142857142855,485,54,0.6837374130190412
203484,2023-24,22.0,23.0,1.0,168.3746966183305,179.12124759678645,10.746550978455957,0.46875,587,86,0.6930206941292643
1627752,2023-24,23.0,23.0,0.0,184.61233276567077,179.06274184553686,-5.549590920133909,0.46153846153846156,572,29,0.7513178390945812
1631107,2023-24,23.0,23.0,0.0,167.83797735703973,182.5383760477745,14.700398690734772,0.5625,321,36,0.7367976078555913
1628369,2023-24,16.0,15.0,-1.0,145.78047254869648,140.49157567724518,-5.2888968714513,0.4246987951807229,1426,372,0.7081461368435814
203914,2023-24,23.0,24.0,1.0,188.64688770066746,206.53419653564478,17.88730883497732,0.5,297,28,0.6626761469901361
1630183,2023-24,11.0,9.5,-1.5,157.57234294219649,152.41132613093671,-5.1610168112597705,0.5882352941176471,628,140,0.7593280167795002
1628378,2023-24,19.0,13.0,-6.0,145.95732487357017,138.71691740592846,-7.240407467641717,0.5166666666666667,1089,225,0.5832242218608163
1630551,2023-24,6.0,13.0,7.0,152.9842885997365,158.80914655409418,5.824857954357697,0.6818181818181818,535,19,0.6277781250011265
1630178,2023-24,12.0,12.0,0.0,142.1834487483064,142.90850829590903,0.7250595476026263,0.6153846153846154,1419,138,0.8418034888682304
1630548,2023-24,22.0,18.0,-4.0,167.20372960350227,167.05419070343297,-0.14953890006930237,0.45,542,20,0.6591027665995842
1630182,2023-24,22.0,23.0,1.0,168.7456071556764,196.21693676772603,27.47132961204963,0.5666666666666667,374,85,0.6318386889943689
1629731,2023-24,24.0,25.0,1.0,202.41916776955557,192.91811069958524,-9.50105706997033,0.42857142857142855,232,13,0.6844222290087494
203109,2023-24,23.0,23.0,0.0,186.1547631459872,200.4678429589296,14.31307981294239,0.0,270,12,0.5141215211223457
1628371,2023-24,12.0,23.0,11.0,155.3485195292707,192.4901665995353,37.14164707026461,0.5517241379310345,286,39,0.2978397727508261
1630171,2023-24,6.0,16.0,10.0,158.68196385623258,176.34109028874582,17.659126432513233,0.375,480,70,0.34404524140492065
1626181,2023-24,22.0,19.0,-3.0,163.27631776448385,158.64600591019249,-4.630311854291364,0.6724137931034483,768,61,0.7511836461156312
1629312,2023-24,23.0,23.5,0.5,178.1751188313582,172.5496746204994,-5.625444210858802,0.32142857142857145,329,28,0.6798187633062758
201587,2023-24,23.0,23.0,0.0,200.59544044959415,196.63412800316863,-3.9613124464255236,0.875,256,29,0.9262321253214469
1630559,2023-24,16.0,13.0,-3.0,149.72845957207946,158.92004320767256,9.191583635593105,0.40384615384615385,940,63,0.6163889597249029
1630173,2023-24,2.0,1.0,-1.0,112.11512461818839,67.18187410451503,-44.93325051367336,0.125,469,43,0.3504004969179599
1627742,2023-24,14.0,14.0,0.0,126.9155808730926,129.28827445850575,2.3726935854131597,0.36363636363636365,1017,55,0.7312183839420665
1629011,2023-24,0.0,0.0,0.0,16.19676921745089,12.760042371351332,-3.436726846099557,0.4,127,14,0.7393796389234026
201950,2023-24,18.0,11.0,-7.0,156.19445223849027,154.9948756743897,-1.1995765641005676,0.603448275862069,689,193,0.6241818509602242
1630202,2023-24,23.0,23.0,0.0,177.03680279451646,191.30682784718473,14.270025052668274,0.6,635,105,0.7543798496839903
203926,2023-24,25.0,24.0,-1.0,181.06184407567105,187.54868458858647,6.486840512915421,1.0,284,11,0.9310789569225075
1630186,2023-24,4.0,9.0,5.0,138.8280798740774,149.78841886691737,10.96033899283998,0.625,347,59,0.6342379660429601
1631114,2023-24,9.0,9.0,0.0,123.42994212949719,134.87171810988377,11.44177598038658,0.4866666666666667,1007,160,0.7260160107843471
1627747,2023-24,10.0,10.0,0.0,144.7588148432439,135.7065779037706,-9.05223693947329,0.32,820,102,0.6736865783631603
1629611,2023-24,10.0,12.5,2.5,155.231087190199,166.91244631332773,11.681359123128743,0.625,493,46,0.7049118452612275
