PLAYER_ID,PLAYER_NAME,SEASON,AGE,RS_USG_PCT,CURRENT_ARCHETYPE,CURRENT_STAR_LEVEL,CURRENT_KING_PROB,CURRENT_BULLDOZER_PROB,CURRENT_SNIPER_PROB,CURRENT_VICTIM_PROB,AT_25_USG_ARCHETYPE,AT_25_USG_STAR_LEVEL,AT_25_USG_KING_PROB,AT_25_USG_BULLDOZER_PROB,AT_25_USG_SNIPER_PROB,AT_25_USG_VICTIM_PROB,AT_30_USG_ARCHETYPE,AT_30_USG_STAR_LEVEL,AT_30_USG_KING_PROB,AT_30_USG_BULLDOZER_PROB,AT_30_USG_SNIPER_PROB,AT_30_USG_VICTIM_PROB,CREATION_VOLUME_RATIO,CREATION_TAX,LEVERAGE_USG_DELTA,LEVERAGE_TS_DELTA,RS_PRESSURE_APPETITE,RS_PRESSURE_RESILIENCE,RIM_PRESSURE_RESILIENCE,RS_RIM_APPETITE,EFG_ISO_WEIGHTED,EFG_PCT_0_DRIBBLE,PERFORMANCE_SCORE,DEPENDENCE_SCORE,RISK_CATEGORY,RANK
1629656,Quentin Grimes,2023-24,24.0,0.155,Sniper (Resilient Role),0.015150817,0.012574032,0.0025767847,0.5261556,0.45869356,King (Resilient Star),0.77830297,0.7737535,0.0045494433,0.0031060148,0.218591,King (Resilient Star),0.96604395,0.8060827,0.15996124,0.002390959,0.03156506,0.2,-0.1495,0.005,0.27,0.3597464342313787,0.344,,0.1951219512195122,0.3824999999999999,0.532,0.015150817111134529,0.5831449198802606,Avoid,291
1630567,Scottie Barnes,2022-23,21.0,0.2,Sniper (Resilient Role),0.054827575,0.052766792,0.002060783,0.64342386,0.30174854,King (Resilient Star),0.7771011,0.77154917,0.005551936,0.0032722205,0.21962671,King (Resilient Star),0.95643705,0.8189293,0.13750774,0.0041854605,0.039377537,0.4722492697176241,-0.1103793814432989,-0.009,0.123,0.5799848369977255,0.466,,0.3405511811023622,0.4186206185567011,0.529,0.054827574640512466,0.4269405751556595,Depth (Moderate Dependence),292
1626167,Myles Turner,2015-16,20.0,0.207,Victim (Fragile Role),0.08761217,0.084251046,0.0033611227,0.11444965,0.7979382,King (Resilient Star),0.776233,0.7258696,0.050363403,0.009182119,0.21458484,Bulldozer (Fragile Star),0.98207784,0.2705349,0.71154296,0.003307384,0.0146147,0.0212164073550212,0.158,-0.0399999999999999,-0.029,0.520951302378256,0.484,1.1416735708367856,0.320754716981132,0.675,0.517,0.08761216700077057,0.7098482305364847,Avoid,293
1628389,Bam Adebayo,2021-22,24.0,0.248,King (Resilient Star),0.76162654,0.74158084,0.0200457,0.018327972,0.22004552,King (Resilient Star),0.77620137,0.75577205,0.020429304,0.0064279195,0.21737067,King (Resilient Star),0.9841091,0.6892178,0.2948913,0.006058518,0.009832383,0.3073170731707317,-0.1363571428571429,-0.1,0.071,0.6474654377880185,0.592,1.0894945054945055,0.4458161865569273,0.489642857142857,0.626,0.7616265416145325,0.5093434542116682,Luxury Component,294
1629016,Omari Spellman,2019-20,22.0,0.177,Sniper (Resilient Role),0.020091191,0.018778592,0.0013125995,0.90657556,0.07333329,King (Resilient Star),0.7756065,0.63935447,0.13625202,0.024287878,0.20010567,Bulldozer (Fragile Star),0.9953704,0.048576605,0.9467938,0.0016981213,0.002931548,0.0449897750511247,0.1250000000000001,,,0.3837209302325581,0.333,,0.3119047619047619,0.6360000000000001,0.511,0.020091190934181213,0.6781281209873021,Avoid,295
1641718,Keyonte George,2023-24,20.0,0.22399999999999998,Victim (Fragile Role),0.3379357,0.3284778,0.009457898,0.10392797,0.55813634,King (Resilient Star),0.7745113,0.7672659,0.0072453357,0.0035705105,0.22191826,King (Resilient Star),0.96182126,0.72266215,0.2391591,0.0022105225,0.035968192,0.5914994096812279,-0.0521497005988024,0.111,-0.005,0.4300278035217794,0.321,,0.1194196428571428,0.4378502994011976,0.49,0.3,0.34995800566720614,"Moderate Performance, Low Dependence",296
1626164,Devin Booker,2017-18,21.0,0.301,King (Resilient Star),0.96206594,0.7334236,0.22864237,0.0023534708,0.03558057,King (Resilient Star),0.7742225,0.7677776,0.0064448663,0.0030942543,0.22268319,King (Resilient Star),0.9571587,0.7081184,0.24904028,0.0025634316,0.040277973,0.6488706365503081,-0.1632943037974683,0.0439999999999999,-0.09,0.5578893442622951,0.36,,0.2020872865275142,0.4337056962025316,0.597,0.0,0.32068316361505184,Depth,297
1629002,Chimezie Metu,2020-21,24.0,0.19399999999999998,Victim (Fragile Role),0.15951723,0.15738101,0.0021362205,0.15044017,0.6900426,King (Resilient Star),0.7740256,0.7683898,0.005635775,0.001541373,0.22443299,Bulldozer (Fragile Star),0.99363816,0.3563964,0.6372418,0.0009857691,0.005376048,0.1391304347826086,-0.0643749999999998,,,0.536144578313253,0.625,,0.3743016759776536,0.5336250000000001,0.598,0.15951722860336304,0.6256480268901694,Avoid,298
1629013,Landry Shamet,2021-22,25.0,0.16,Sniper (Resilient Role),0.0099554565,0.007900101,0.002055355,0.7701084,0.21993619,King (Resilient Star),0.7737221,0.76787454,0.00584757,0.0057886858,0.2204892,King (Resilient Star),0.9091135,0.6671052,0.24200831,0.008634937,0.082251556,0.2226277372262773,-0.1491967213114754,0.0279999999999999,-0.109,0.3271692745376955,0.5,1.0635964912280702,0.1175257731958762,0.4408032786885245,0.59,0.0,0.6186302706855915,Avoid,299
1641765,Olivier-Maxence Prosper,2024-25,22.0,0.158,Sniper (Resilient Role),0.019213583,0.016143857,0.0030697258,0.6626528,0.31813362,King (Resilient Star),0.77330875,0.7671792,0.0061295363,0.004113285,0.222578,Bulldozer (Fragile Star),0.9818305,0.19571865,0.78611183,0.0017290666,0.016440481,0.3951612903225806,-0.0770612244897959,,,0.5,0.214,,0.4050632911392405,0.3719387755102041,0.449,0.01894487999379635,0.5675717114158779,Avoid,300
