PLAYER_NAME,SEASON,PORTABILITY_CLASS,PORTABILITY_SCORE,VOL_RATIO,EFF_RATIO
Aaron Gordon,2018-19,high,1.0124113313008132,1.012727988716273,0.99968732234224
Aaron Gordon,2020-21,medium,0.9234769110329446,0.9338929474287648,0.9888466484038688
Aaron Gordon,2021-22,medium,0.9282523148148145,1.073730491965007,0.8645114595898673
Aaron Gordon,2022-23,low,0.7799037027869614,0.7498257469172284,1.0401132609721566
Aaron Gordon,2022-23,low,0.7921354821360449,0.7921891251380586,0.9999322851067864
Aaron Gordon,2022-23,low,0.6528272880565421,0.7607881116382404,0.8580934403020293
Aaron Gordon,2023-24,low,0.794233027756899,0.8282693414055029,0.958906708304756
Aaron Gordon,2023-24,medium,1.0271743111975937,0.8631523012707747,1.1900267307233474
Aaron Nesmith,2023-24,low,0.786004375276916,0.9589615250651984,0.8196412001237242
Aaron Nesmith,2023-24,low,0.8272570087549915,0.8219705424486566,1.0064314546973745
Al Horford,2015-16,low,0.8060132667376162,0.8743397626193546,0.9218536102292256
Al Horford,2016-17,high,1.1222751855287567,0.9120890977713134,1.2304446882119655
Al Horford,2016-17,medium,0.9014910714285713,0.9574501182965296,0.941554086423302
Al Horford,2016-17,medium,1.142386462355212,0.8128442056015003,1.4054187192118228
Al Horford,2017-18,medium,0.9861707777885892,0.9629063911687508,1.0241605900980684
Al Horford,2017-18,high,1.3128614744832041,1.1258234537991942,1.1661344148168462
Al Horford,2017-18,high,1.0326316258118584,0.9406684455614932,1.09776364954548
Al Horford,2018-19,medium,0.9572168923638057,0.9594927290075618,0.9976280834914611
Al Horford,2021-22,medium,1.1379957012101716,0.8475692846871693,1.3426580242701884
Al Horford,2021-22,low,0.795754031068446,0.7846043198761092,1.0142106166253295
Al Horford,2021-22,medium,0.9468124234068628,0.8970651640888322,1.0554555692378935
Al Horford,2023-24,medium,1.012483170134639,1.287908161406159,0.7861454725383474
Al-Farouq Aminu,2015-16,high,1.3046391936404196,1.0052398200585988,1.2978387521142645
Al-Farouq Aminu,2015-16,medium,1.1027585312971346,1.216485940809571,0.9065115298934316
Al-Farouq Aminu,2018-19,medium,0.8774603226085453,1.164976361406367,0.7532001091844212
Allen Crabbe,2015-16,medium,0.9946348190644305,0.7705089268909143,1.2908803316243045
Andre Iguodala,2015-16,medium,1.1077081545064376,1.1968749520999384,0.925500322788896
Andre Iguodala,2018-19,high,1.6643828762045958,1.4771079618205096,1.1267848520383528
Andre Iguodala,2018-19,high,1.572470847778128,1.613602006730341,0.9745097249627512
Andre Iguodala,2018-19,medium,1.2636172123221436,1.487061950933819,0.8497408003268725
Andre Roberson,2015-16,high,1.3527139559659096,1.3185976652698197,1.025873161764706
Andre Roberson,2016-17,high,1.438720588430234,1.387921792013951,1.03660061878744
Andrew Nembhard,2023-24,high,1.1871813976696515,0.996249255768029,1.1916509756932556
Andrew Nembhard,2023-24,high,1.2518356115502856,1.1229627371579682,1.1147614877395426
Andrew Wiggins,2017-18,high,1.013229074315515,0.9921877112188972,1.0212070386064032
Andrew Wiggins,2021-22,medium,0.9101538067255549,0.985712124259252,0.9233464663017328
Andrew Wiggins,2021-22,medium,0.9851210208759265,1.0211779967960606,0.964690802158622
Andrew Wiggins,2021-22,low,0.8165101744186045,0.8353143085842853,0.9774885525455076
Anthony Davis,2017-18,low,0.8430729511409445,0.965744283821318,0.8729774177953403
Anthony Davis,2017-18,high,1.1257893238434165,1.058986799884159,1.0630815454607792
Anthony Davis,2019-20,high,1.1460386342946887,1.0391937221529426,1.1028152016934734
Anthony Davis,2019-20,medium,0.9503625410994266,0.8730681003228539,1.0885319721886413
Anthony Davis,2019-20,medium,0.9275841017220329,0.8437346522880104,1.0993789329460897
Anthony Davis,2019-20,high,1.194407676661827,1.1089533289747842,1.0770585609459729
Anthony Davis,2022-23,medium,0.8917435132836921,0.9249604081451696,0.964088306300496
Anthony Davis,2022-23,low,0.7702156275983568,0.7491178961341208,1.0281634327161484
Anthony Davis,2022-23,low,0.7560046740662292,0.8542849891799719,0.8849560552292017
Anthony Davis,2023-24,high,1.001831470571385,0.9346849194376048,1.071838701724408
Anthony Edwards,2021-22,high,1.053744083055032,0.9767640185801216,1.0788113229097165
Anthony Edwards,2022-23,high,1.2602404539469558,1.1787978142977311,1.0690895747017857
Anthony Edwards,2023-24,low,0.8295688428261422,0.8850450093558774,0.9373182539381698
Anthony Edwards,2023-24,medium,0.981319240904095,0.9260854029348798,1.0596422725098271
Anthony Edwards,2023-24,high,1.0843052629014773,0.9620064238931672,1.1271289213572775
Austin Reaves,2022-23,high,1.2595269947443861,1.167476002258611,1.0788461538461538
Austin Reaves,2022-23,medium,0.9769978021978025,1.1642059884559888,0.8391966815885663
Austin Reaves,2022-23,medium,1.0313691635875042,1.2334828635702,0.8361438930755011
Austin Reaves,2023-24,high,1.0230699238850771,1.0669428598250883,0.9588797698620865
Avery Bradley,2016-17,medium,0.9507341610211382,0.8862814966276489,1.0727225657296642
Avery Bradley,2016-17,medium,1.1113845317200006,1.2688705941350655,0.875884851344974
Avery Bradley,2016-17,medium,0.927780675887863,0.957959321577914,0.968496944483674
Bam Adebayo,2019-20,high,1.1892477881940322,1.0696946424202167,1.1117638071957834
Bam Adebayo,2019-20,medium,1.0259147218323892,0.8928891897454209,1.1489832485539402
Bam Adebayo,2021-22,low,0.6913276614310644,0.7017643197779806,0.9851279723793622
Bam Adebayo,2021-22,low,0.7130589828120016,0.715201424515985,0.9970044219285032
