stress_vector,outcome_metric,pearson_r,pearson_p,spearman_r,spearman_p,n_samples
CREATION_TAX,PO_DOMINANCE,0.14789246138462986,0.00038688902297372244,0.19811417796951916,1.7948574291079967e-06,572
CREATION_TAX,PO_RQ,0.05063990455955911,0.2265641452730221,0.07288873599796358,0.08155238198354738,572
CREATION_TAX,PO_PTS_PER_75,0.1867461799059465,6.919136850182913e-06,0.2370704248724358,9.49476368928262e-09,572
CREATION_TAX,PO_TS_PCT,-0.0760184796879419,0.0692554063389346,-0.08005457906807464,0.05568269479814426,572
CREATION_TAX,PO_VOL_RATIO,0.07271927866200595,0.08226565692535803,0.09446478032678517,0.023859686909548355,572
CREATION_TAX,PO_EFF_RATIO,0.017512952981712078,0.6759729023231684,0.008430484705020886,0.8405497134178965,572
CREATION_TAX,PO_RESILIENCE_SCORE,0.05063990455955911,0.2265641452730221,0.07288873599796358,0.08155238198354738,572
CREATION_VOLUME_RATIO,PO_DOMINANCE,0.5357974669726069,8.123815082920588e-44,0.5468475675921204,6.402605296645927e-46,572
CREATION_VOLUME_RATIO,PO_RQ,0.029243416863781405,0.4851645930029129,0.042704625535870094,0.3079290957142452,572
CREATION_VOLUME_RATIO,PO_PTS_PER_75,0.633470285577715,1.693487886063089e-65,0.6457308085598472,8.609506238707933e-69,572
CREATION_VOLUME_RATIO,PO_TS_PCT,-0.23682570409447576,9.842747659841971e-09,-0.23533208808806255,1.225047466595172e-08,572
CREATION_VOLUME_RATIO,PO_VOL_RATIO,0.10769388649017761,0.009950955679376266,0.14591167312204242,0.00046383078976528625,572
CREATION_VOLUME_RATIO,PO_EFF_RATIO,-0.12072378186878874,0.0038333539699558585,-0.0908400990906305,0.029831566456459045,572
CREATION_VOLUME_RATIO,PO_RESILIENCE_SCORE,0.029243416863781405,0.4851645930029129,0.042704625535870094,0.3079290957142452,572
LEVERAGE_TS_DELTA,PO_DOMINANCE,-0.1399116793100812,0.0007925067582313447,-0.17240243102355035,3.393319231935683e-05,572
LEVERAGE_TS_DELTA,PO_RQ,-0.00943327992924816,0.8218838041497469,-0.054705280733037334,0.19139059119975066,572
LEVERAGE_TS_DELTA,PO_PTS_PER_75,-0.1185644772560736,0.00451887545250026,-0.1423258384212171,0.000640431113972385,572
LEVERAGE_TS_DELTA,PO_TS_PCT,-0.0833054059951478,0.046428161678582526,-0.10293468755063541,0.013777999340679966,572
LEVERAGE_TS_DELTA,PO_VOL_RATIO,0.04608535939542139,0.271168716783288,0.011593382060675783,0.7820288022284188,572
LEVERAGE_TS_DELTA,PO_EFF_RATIO,-0.07549405017776291,0.07120298050786913,-0.07987234972101027,0.056243899425135586,572
LEVERAGE_TS_DELTA,PO_RESILIENCE_SCORE,-0.00943327992924816,0.8218838041497469,-0.054705280733037334,0.19139059119975066,572
LEVERAGE_USG_DELTA,PO_DOMINANCE,0.4739898828389047,2.2372375086657632e-33,0.3884399219551804,4.849401684446793e-22,572
LEVERAGE_USG_DELTA,PO_RQ,0.09401545995148888,0.024538819270559512,0.12156652592657115,0.00359243412251916,572
LEVERAGE_USG_DELTA,PO_PTS_PER_75,0.5119211195810134,1.5774452886010554e-39,0.43843084259055726,2.864596429122835e-28,572
LEVERAGE_USG_DELTA,PO_TS_PCT,-0.06096310893467898,0.14533990901051522,-0.03302274091028855,0.43053503679259186,572
LEVERAGE_USG_DELTA,PO_VOL_RATIO,0.18288439905207596,1.0747232911048896e-05,0.21849152945848543,1.305820322668849e-07,572
LEVERAGE_USG_DELTA,PO_EFF_RATIO,-0.10148694658310291,0.015174923350909897,-0.06333244953806486,0.13030568771384937,572
LEVERAGE_USG_DELTA,PO_RESILIENCE_SCORE,0.09401545995148888,0.024538819270559512,0.12156652592657115,0.00359243412251916,572
CLUTCH_MIN_TOTAL,PO_DOMINANCE,0.2151120203543502,2.0537212564401834e-07,0.2234224262255147,6.656370682371992e-08,572
CLUTCH_MIN_TOTAL,PO_RQ,-0.04518891307696335,0.2806106193213756,-0.03682973720820594,0.37928706535573975,572
CLUTCH_MIN_TOTAL,PO_PTS_PER_75,0.25711183011597605,4.348121175027951e-10,0.2557178920684131,5.435722728827774e-10,572
CLUTCH_MIN_TOTAL,PO_TS_PCT,-0.09240949085535803,0.027104501935494667,-0.08125441165397602,0.05210268355354413,572
CLUTCH_MIN_TOTAL,PO_VOL_RATIO,-0.01275399534718701,0.760841203725834,0.010138851515271816,0.8088097340225803,572
CLUTCH_MIN_TOTAL,PO_EFF_RATIO,-0.07735864269916323,0.06447604641221312,-0.053291168064396696,0.20314022887963049,572
CLUTCH_MIN_TOTAL,PO_RESILIENCE_SCORE,-0.04518891307696335,0.2806106193213756,-0.03682973720820594,0.37928706535573975,572
EFG_PCT_0_DRIBBLE,PO_DOMINANCE,0.07188331025275738,0.0858585550002592,0.07933501002367115,0.05792612797828824,572
