ARCHETYPE,avg_delta_usg,avg_delta_ts,sample_size,FRICTION_COEFFICIENT
High SQ Delta (Creators),0.03633333333333332,-0.025916666666666675,24,-0.007133027522935785
Low SQ Delta (Finishers),0.03627272727272728,0.028545454545454544,22,0.007869674185463657
Mid SQ Delta,0.03756701030927836,0.001278350515463913,194,0.0003402854006586156
