player_id,player_name,season,age,minutes,usg_pct,ts_pct,shot_quality_generation_delta,creation_volume_ratio,helio_potential_score,friction_coeff_iso,avg_opponent_dcs,avg_speed_offense,time_of_poss,weighted_touch_production,skill_index,subsidy_index,physicality_score,fragility_score,inefficient_volume_score,leverage_usg_delta,leverage_ts_delta,clutch_usg_absolute,relative_usage_drop,abdication_interaction,pct_uast_fgm,pct_pts_2pt_mr,pull_up_fga,pull_up_fg3a,pull_up_fg3m,contested_shot_rate,projected_playoff_pps,projected_playoff_output,helio_above_replacement_value,team_abbreviation,teammate_ts_pct
201166,Aaron Brooks,2015-16,31.0,16.1,0.225,0.494,0.0932692690931094,1.0,0.0099543372536263,1.0,,4.39,3.1,0.0,0.5888888888888889,0.4111111111111111,0.2622601279317697,0.1215458975304609,0.0,0.002,0.13,0.227,0.0088888888888888,0.00026,0.739,0.122,2.8,1.4,0.4,0.6076759061833689,0.3566196222712778,0.0802394150110375,-0.0,,
203932,Aaron Gordon,2015-16,20.0,23.9,0.169,0.541,0.0850346553128075,0.2184724689165186,0.0059078031026627,1.0,55.39019743354985,5.08,1.2,0.8999999999999999,0.2288888888888888,0.7711111111111111,0.8054054054054054,0.5,0.0345612788632326,-0.048,-0.009,0.121,-0.2840236686390533,0.000432,0.412,0.089,1.2,0.1,0.0,0.5803108808290155,0.3216240142095914,0.0543544584014209,-0.0,,
201143,Al Horford,2015-16,30.0,32.1,0.202,0.565,0.1029558830624387,0.0624426078971533,0.0093471286915084,1.518557628378114,54.68001248926674,4.42,1.7,3.4,0.3666666666666667,0.6333333333333333,0.2348282442748091,0.3918344538817792,0.0121129476584022,-0.013,0.031,0.189,-0.0643564356435644,-0.000403,0.187,0.237,0.4,0.0,0.0,0.3797250859106529,0.3530248086929906,0.0713110113559841,-0.0,ATL,0.5471425918274843
2744,Al Jefferson,2015-16,31.0,23.3,0.24,0.507,0.0928022388706081,0.1219879518072289,0.0109112703466017,1.138949046938876,,4.14,1.0,7.1000000000000005,0.7100000000000001,0.2899999999999999,0.1514851485148514,0.5,0.0055737951807228,-0.0569999999999999,-0.143,0.183,-0.2375,0.008151,0.445,0.292,0.9,0.0,0.0,0.7091836734693877,0.4266439248117469,0.1023945419548192,-0.0,,
202329,Al-Farouq Aminu,2015-16,25.0,28.5,0.166,0.533,0.0788609886454562,0.2127659574468085,0.0053336479856934,0.5540244130984121,53.97114145495135,4.75,1.3,0.6,0.1933333333333333,0.8066666666666666,0.5442091288405613,1.0,0.0421304964539007,-0.023,-0.171,0.143,-0.13855421686747,0.003933,0.264,0.083,1.3,0.3,0.1,0.3893491124260355,0.3072896110981218,0.0510100754422882,-0.0,POR,0.5526463576158941
202692,Alec Burks,2015-16,24.0,25.7,0.246,0.52,0.1210659481533107,0.7174211248285322,0.0147715023636244,1.0,,4.44,3.1,0.2,0.3444444444444444,0.6555555555555556,0.3323353293413174,0.1606219973707949,0.0633799725651577,0.03,0.0629999999999999,0.276,0.1219512195121952,0.00189,0.672,0.15,4.4,1.0,0.4,0.5718562874251497,0.3405612406645328,0.083778065203475,-0.0,,
203458,Alex Len,2015-16,23.0,23.3,0.202,0.482,-0.0101206313000662,0.0510204081632653,-0.000918828923488,1.0,53.95727480285105,4.33,1.0,3.6,0.36,0.64,0.4325,1.0,0.0239795918367346,-0.09,0.063,0.112,-0.4455445544554455,-0.00567,0.33,0.179,0.4,0.0,0.0,0.6634615384615384,0.3032938775510204,0.0612653632653061,-0.0,,
203459,Allen Crabbe,2015-16,24.0,26.0,0.159,0.572,0.1324122616018157,0.1034482758620689,0.0083950616516632,0.0,54.118132215424936,4.68,0.9,0.4,0.1599999999999999,0.8400000000000001,0.1722713864306784,0.5,0.024,-0.083,0.079,0.076,-0.5220125786163522,-0.006557,0.161,0.272,2.7,0.3,0.0,0.4125500667556742,0.3302,0.0525018,-0.0,,
202087,Alonzo Gee,2015-16,29.0,22.4,0.091,0.572,0.1046998207095251,0.2425531914893617,0.0028741407118959,1.0,54.29966500228138,4.81,0.7,0.3,0.1399999999999999,0.86,0.7085714285714286,0.3246198724422945,0.0214468085106383,-0.0209999999999999,0.145,0.07,-0.2307692307692306,-0.0030449999999999,0.265,0.043,0.3,0.1,0.0,0.5372549019607843,0.3081153191489362,0.0280384940425531,-0.0,,
101161,Amir Johnson,2015-16,29.0,22.8,0.136,0.602,0.0975932751527157,0.0900692840646651,0.0048947245321778,1.0,54.72306106007462,4.37,0.9,1.3,0.2444444444444444,0.7555555555555555,0.3666666666666666,0.2134772381103618,0.0544018475750577,-0.015,0.008,0.121,-0.1102941176470589,-0.00012,0.325,0.021,0.1,0.1,0.0,0.7592997811816192,0.3702811393379522,0.0503582349499615,-0.0,,
