PLAYER_ID,PLAYER_NAME,SEASON,AGE,USG_PCT,predicted_archetype_at_target,star_level_potential_at_target,king_prob_at_target,bulldozer_prob_at_target,base_signal_strength,data_completeness,quality_filter_passed,confidence,star_potential_percentile,CREATION_VOLUME_RATIO,LEVERAGE_USG_DELTA,EFG_ISO_WEIGHTED
1629065,Ky Bowman,2019-20,23.0,0.168,King (Resilient Star),0.5731553,0.46702668,0.10612863,1.3369151619755706,0.5,False,Low,60.48109965635739,0.6728624535315986,-0.065,0.4598066298342541
1630578,Alperen Sengun,2022-23,20.0,0.211,Victim (Fragile Role),0.5730943,0.21299262,0.3601017,0.2585105403192797,0.5,False,Low,60.13745704467354,0.3653295128939828,-0.0189999999999999,0.5605058823529412
1630205,Lamar Stevens,2022-23,25.0,0.136,King (Resilient Star),0.5730673,0.4700479,0.10301944,0.7940660919540228,0.5,False,Low,59.79381443298969,0.2298850574712643,0.0129999999999999,0.3203
1628070,Jordan Loyd,2018-19,25.0,0.159,Victim (Fragile Role),0.5729142,0.2825323,0.29038188,0.717948717948718,0.16666666666666666,False,Low,59.27835051546392,0.717948717948718,,0.7496547619047619
1627743,Demetrius Jackson,2017-18,23.0,0.156,Victim (Fragile Role),0.5729142,0.2825323,0.29038188,0.7127659574468085,0.16666666666666666,False,Low,59.27835051546392,0.7127659574468085,,0.6500746268656716
203487,Michael Carter-Williams,2016-17,25.0,0.203,King (Resilient Star),0.571966,0.4687192,0.103246756,0.8339963054187189,0.5,False,Low,58.76288659793815,0.6206896551724138,-0.031,0.38
1626168,Trey Lyles,2020-21,25.0,0.128,Victim (Fragile Role),0.5714568,0.21789739,0.35355937,0.2653846153846154,0.16666666666666666,False,Low,58.075601374570454,0.2653846153846154,,0.6905072463768115
1631257,Jermaine Samuels Jr.,2023-24,25.0,0.098,Victim (Fragile Role),0.5714568,0.21789739,0.35355937,0.28,0.16666666666666666,False,Low,58.075601374570454,0.28,,1.0
1629076,Tyler Cook,2019-20,22.0,0.15,Victim (Fragile Role),0.5714568,0.21789739,0.35355937,0.2830188679245283,0.16666666666666666,False,Low,58.075601374570454,0.2830188679245283,,1.0
1628414,Sindarius Thornwell,2019-20,25.0,0.176,Victim (Fragile Role),0.57140326,0.21787699,0.35352626,0.375,0.16666666666666666,False,Low,57.21649484536082,0.375,,0.6670000000000001
1630564,RaiQuan Gray,2023-24,24.0,0.2,Victim (Fragile Role),0.57140326,0.21787699,0.35352626,0.4,0.16666666666666666,False,Low,57.21649484536082,0.4,,0.668
1627750,Jamal Murray,2020-21,24.0,0.244,King (Resilient Star),0.571318,0.42966947,0.14164852,0.6929822462483752,0.5,False,Low,56.70103092783505,0.7088502894954508,0.0449999999999999,0.5193792298716453
1629599,Amir Coffey,2020-21,24.0,0.145,Victim (Fragile Role),0.5708651,0.24351327,0.32735184,0.2571428571428572,0.16666666666666666,False,Low,56.3573883161512,0.2571428571428572,,0.5484000000000001
1630235,Trent Forrest,2021-22,24.0,0.124,Victim (Fragile Role),0.570735,0.2928829,0.27785206,0.7596153846153846,0.16666666666666666,False,Low,55.84192439862543,0.7596153846153846,,0.5578607594936709
1642265,Rob Dillingham,2024-25,20.0,0.215,Victim (Fragile Role),0.570735,0.2928829,0.27785206,0.7432835820895523,0.16666666666666666,False,Low,55.84192439862543,0.7432835820895523,,0.5534578313253011
1628368,De'Aaron Fox,2018-19,21.0,0.238,King (Resilient Star),0.57021743,0.5279821,0.04223534,0.6691587335708142,0.5,False,Low,55.32646048109966,0.8641444539982803,0.0469999999999999,0.4751880597014925
1629102,Brandon Sampson,2018-19,22.0,0.154,Victim (Fragile Role),0.5700717,0.24246159,0.32761014,0.2559999999999999,0.16666666666666666,False,Low,54.98281786941581,0.2559999999999999,,0.5546875000000001
1630570,Trendon Watford,2021-22,21.0,0.169,Victim (Fragile Role),0.5700182,0.24243881,0.32757935,0.3014705882352941,0.16666666666666666,False,Low,54.63917525773196,0.3014705882352941,,0.5583658536585366
1627772,Daniel Hamilton,2017-18,22.0,0.2,Victim (Fragile Role),0.56934124,0.28077033,0.2885709,0.6240601503759399,0.16666666666666666,False,Low,53.95189003436426,0.6240601503759399,,0.7030120481927711
1630179,Tyrell Terry,2020-21,20.0,0.135,Victim (Fragile Role),0.56934124,0.28077033,0.2885709,0.625,0.16666666666666666,False,Low,53.95189003436426,0.625,,0.6002000000000001
1630235,Trent Forrest,2020-21,23.0,0.144,Victim (Fragile Role),0.56934124,0.28077033,0.2885709,0.6225490196078431,0.16666666666666666,False,Low,53.95189003436426,0.6225490196078431,,0.5791653543307087
1626209,Mario Hezonja,2017-18,23.0,0.197,King (Resilient Star),0.56921303,0.4954818,0.073731214,0.40384613143789316,0.5,False,Low,53.264604810996566,0.2952691680261011,0.0289999999999999,0.4815027624309392
1630529,Herbert Jones,2023-24,25.0,0.141,Victim (Fragile Role),0.56853086,0.16503847,0.4034924,0.46895788010635703,0.5,False,Low,52.92096219931272,0.2165820642978003,0.003,0.593046875
1626188,Quinn Cook,2016-17,24.0,0.192,Victim (Fragile Role),0.5665492,0.2793934,0.28715575,0.6725888324873097,0.16666666666666666,False,Low,52.23367697594502,0.6725888324873097,,0.6215509433962264
1630215,Jared Butler,2023-24,23.0,0.194,Victim (Fragile Role),0.5665492,0.2793934,0.28715575,0.6875,0.16666666666666666,False,Low,52.23367697594502,0.6875,,0.5704125874125874
1629644,KZ Okpala,2019-20,21.0,0.102,Victim (Fragile Role),0.5665492,0.2793934,0.28715575,0.6666666666666666,0.16666666666666666,False,Low,52.23367697594502,0.6666666666666666,,1.0
1631157,Ryan Rollins,2024-25,22.0,0.179,Victim (Fragile Role),0.56562287,0.30296695,0.2626559,0.7067455466294095,0.5,False,Low,51.546391752577314,0.4938875305623472,-0.076,0.5176435643564357
1627763,Malcolm Brogdon,2017-18,25.0,0.189,Victim (Fragile Role),0.5652076,0.18992607,0.37528154,0.3732159823549373,0.5,False,Low,51.20274914089347,0.5380047505938242,-0.078,0.5563024282560706
1630219,Skylar Mays,2021-22,24.0,0.149,Victim (Fragile Role),0.5642116,0.2291213,0.33509034,0.4032258064516129,0.16666666666666666,False,Low,50.85910652920962,0.4032258064516129,,0.571
1629640,Keldon Johnson,2023-24,24.0,0.212,Victim (Fragile Role),0.5640502,0.21517733,0.3488729,0.379712280962281,0.5,False,Low,50.51546391752577,0.3866943866943866,-0.0409999999999999,0.5234784946236559
1629675,Naz Reid,2022-23,23.0,0.242,Victim (Fragile Role),0.5632958,0.35365644,0.20963936,0.18949101068999022,0.5,False,Low,50.171821305841924,0.1870748299319727,0.029,0.6129363636363636
