PLAYER_ID,PLAYER_NAME,SEASON,RS_ACTUAL_EFG,RS_EXPECTED_EFG,RS_CONTEXT_ADJUSTMENT,RS_IS_SYSTEM_MERCHANT,CONTEXT_ADJUSTED_EFFICIENCY
708,Kevin Garnett,2015-16,0.4695529801324504,0.5048749246371972,-0.035321944504746794,False,0.4695529801324504
977,Kobe Bryant,2015-16,0.4174445761707172,0.4915274300080272,-0.07408285383731,False,0.4174445761707172
1495,Tim Duncan,2015-16,0.4877275242047026,0.48727298086361837,0.0004545433410842459,False,0.4877275242047026
1713,Vince Carter,2015-16,0.4737972027972028,0.5008786846740495,-0.027081481876846725,False,0.4737972027972028
1717,Dirk Nowitzki,2015-16,0.5042199730094468,0.49956094308849097,0.004659029920955793,False,0.5042199730094468
1718,Paul Pierce,2015-16,0.4573441780821918,0.507122316365143,-0.049778138282951245,False,0.4573441780821918
1737,Nazr Mohammed,2015-16,0.6000000000000001,0.4929461643033158,0.10705383569668431,True,0.5464730821516579
1882,Elton Brand,2015-16,0.4301702127659575,0.5027593685261751,-0.07258915576021757,False,0.4301702127659575
1889,Andre Miller,2015-16,0.5665535055350553,0.4860124835504705,0.08054102198458485,True,0.526282994542763
1891,Jason Terry,2015-16,0.5250076481835564,0.510630623198533,0.014377024985023357,False,0.5250076481835564
1897,Metta World Peace,2015-16,0.38442376237623754,0.5045253490330789,-0.12010158665684134,False,0.38442376237623754
1938,Manu Ginobili,2015-16,0.5344812834224599,0.5024565518895263,0.032024731532933615,False,0.5344812834224599
2034,Mike Miller,2015-16,0.5090151515151514,0.5280750927243513,-0.01905994120919985,False,0.5090151515151514
2037,Jamal Crawford,2015-16,0.4655172704296546,0.4928252587680568,-0.0273079883384022,False,0.4655172704296546
2199,Tyson Chandler,2015-16,0.5824411764705882,0.48491162098810586,0.09752955548248238,True,0.533676398729347
2200,Pau Gasol,2015-16,0.4813610709117221,0.4991567938838442,-0.01779572297212212,False,0.4813610709117221
2207,Joe Johnson,2015-16,0.5083597733711048,0.4982586062993325,0.010101167071772332,False,0.5083597733711048
2210,Richard Jefferson,2015-16,0.5639002375296912,0.5022185697863877,0.061681667743303525,True,0.5330594036580394
2216,Zach Randolph,2015-16,0.4785487256371815,0.4881256876385183,-0.009576962001336842,False,0.4785487256371815
2225,Tony Parker,2015-16,0.512104462474645,0.4964904846507361,0.015613977823908942,False,0.512104462474645
2365,Chris Andersen,2015-16,0.5551647940074907,0.49732982054377106,0.057834973463719686,True,0.5262473072756308
2399,Mike Dunleavy,2015-16,0.513184818481848,0.5094911372463635,0.003693681235484525,False,0.513184818481848
2400,Drew Gooden,2015-16,0.35441860465116276,0.5095307933648985,-0.15511218871373572,False,0.35441860465116276
2403,Nene,2015-16,0.5445955555555556,0.49026622724103613,0.054329328314519476,True,0.5174308913982959
2405,Amar'e Stoudemire,2015-16,0.5656173708920187,0.4841801398832792,0.08143723100873951,True,0.524898755387649
2406,Caron Butler,2015-16,0.4493794037940379,0.5019895039974965,-0.05261010020345863,False,0.4493794037940379
2419,Tayshaun Prince,2015-16,0.4562027027027028,0.5044835122790057,-0.048280809576302874,False,0.4562027027027028
2440,Matt Barnes,2015-16,0.46703293084522507,0.5067470277968815,-0.03971409695165645,False,0.46703293084522507
2446,Rasual Butler,2015-16,0.5437433628318584,0.5026665195607815,0.04107684327107697,False,0.5437433628318584
2449,Luis Scola,2015-16,0.50187166454892,0.5002298037659972,0.0016418607829227216,False,0.50187166454892
2544,LeBron James,2015-16,0.5517175901022054,0.4915755563850695,0.060142033717135945,True,0.5216465732436375
2546,Carmelo Anthony,2015-16,0.47384077134986224,0.48942754658343063,-0.015586775233568384,False,0.47384077134986224
2547,Chris Bosh,2015-16,0.5197270214236351,0.5034317662810887,0.016295255142546483,False,0.5197270214236351
2548,Dwyane Wade,2015-16,0.4594984365228268,0.4857934998514384,-0.02629506332861159,False,0.4594984365228268
2549,Chris Kaman,2015-16,0.4765278810408922,0.4916459039161229,-0.015118022875230674,False,0.4765278810408922
2550,Kirk Hinrich,2015-16,0.47249466192170814,0.5100052070130556,-0.03751054509134749,False,0.47249466192170814
2555,Nick Collison,2015-16,0.45829347826086964,0.48583964930936435,-0.027546171048494716,False,0.45829347826086964
2561,David West,2015-16,0.5483647469458988,0.5024052508209453,0.045959496124953425,False,0.5483647469458988
2563,Dahntay Jones,2015-16,0.46414285714285713,0.4938588880115532,-0.029716030868696064,False,0.46414285714285713
2564,Boris Diaw,2015-16,0.5599146825396825,0.49239932959444005,0.06751535294524241,True,0.5261570060670613
2570,Kendrick Perkins,2015-16,0.5340198019801979,0.49096194982603947,0.04305785215415847,False,0.5340198019801979
2571,Leandro Barbosa,2015-16,0.5146838235294117,0.5010759155393492,0.013607907990062507,False,0.5146838235294117
2581,Steve Blake,2015-16,0.49816707021791773,0.51547215095765,-0.017305080739732248,False,0.49816707021791773
2585,Zaza Pachulia,2015-16,0.4660565428109854,0.49256189299608666,-0.02650535018510125,False,0.4660565428109854
2588,Matt Bonner,2015-16,0.6407473684210525,0.5247667981315255,0.11598057028952702,True,0.582757083276289
2590,Mo Williams,2015-16,0.496763907734057,0.5003230906964088,-0.0035591829623518034,False,0.496763907734057
2592,James Jones,2015-16,0.552942760942761,0.513743744554575,0.0391990163881859,False,0.552942760942761
2594,Kyle Korver,2015-16,0.5625979247730221,0.5096437117990473,0.052954212973974735,True,0.5361208182860346
2617,Udonis Haslem,2015-16,0.3870666666666666,0.5007039784254944,-0.1136373117588278,False,0.3870666666666666
