player,season,usage_level,current_usage,predicted_archetype,actual_archetype,king_probability,is_king_predicted,is_king_actual,is_false_positive,is_false_negative,is_true_positive,is_true_negative
Desmond Bane,2021-22,0.25,0.226,Victim (Fragile Role),Victim (Fragile Role),0.013092820532619953,False,False,False,False,False,True
Desmond Bane,2021-22,0.3,0.226,Victim (Fragile Role),Victim (Fragile Role),0.02677813544869423,False,False,False,False,False,True
Desmond Bane,2021-22,0.35,0.226,Victim (Fragile Role),Victim (Fragile Role),0.03358444944024086,False,False,False,False,False,True
Clint Capela,2020-21,0.15,0.193,Victim (Fragile Role),Victim (Fragile Role),0.0011771026765927672,False,False,False,False,False,True
Clint Capela,2020-21,0.2,0.193,Victim (Fragile Role),Victim (Fragile Role),0.002611227799206972,False,False,False,False,False,True
Clint Capela,2020-21,0.25,0.193,Victim (Fragile Role),Victim (Fragile Role),0.003829061286523938,False,False,False,False,False,True
Clint Capela,2020-21,0.3,0.193,Victim (Fragile Role),Victim (Fragile Role),0.008773437701165676,False,False,False,False,False,True
Clint Capela,2020-21,0.35,0.193,Victim (Fragile Role),Victim (Fragile Role),0.020747246220707893,False,False,False,False,False,True
Clint Capela,2020-21,0.15,0.193,Victim (Fragile Role),Victim (Fragile Role),0.0011771026765927672,False,False,False,False,False,True
Clint Capela,2020-21,0.2,0.193,Victim (Fragile Role),Victim (Fragile Role),0.002611227799206972,False,False,False,False,False,True
Clint Capela,2020-21,0.25,0.193,Victim (Fragile Role),Victim (Fragile Role),0.003829061286523938,False,False,False,False,False,True
Clint Capela,2020-21,0.3,0.193,Victim (Fragile Role),Victim (Fragile Role),0.008773437701165676,False,False,False,False,False,True
Clint Capela,2020-21,0.35,0.193,Victim (Fragile Role),Victim (Fragile Role),0.020747246220707893,False,False,False,False,False,True
Eric Bledsoe,2017-18,0.15,0.254,Victim (Fragile Role),Victim (Fragile Role),0.0028741001151502132,False,False,False,False,False,True
Eric Bledsoe,2017-18,0.2,0.254,Victim (Fragile Role),Victim (Fragile Role),0.008084889501333237,False,False,False,False,False,True
