PLAYER_NAME,SEASON,USG_PCT,DEPENDENCE_SCORE,ASSISTED_FGM_PCT,OPEN_SHOT_FREQUENCY,SELF_CREATED_USAGE_RATIO,DEPENDENCE_CATEGORY
Klay Thompson,2015-16,0.26,0.6350588375673225,0.8036391205458682,0.2308136180034622,0.06872630780894616,High
Anthony Davis,2015-16,0.29,0.6341099342956267,0.8809318377911994,0.14170692431562,0.07144089732528035,High
DeMarcus Cousins,2015-16,0.351,0.6154136253041362,0.7777777777777778,0.210705596107056,0.07777777777777777,High
Nikola Vučević,2015-16,0.265,0.6339633596211041,0.8563685636856369,0.1798875702685821,0.08617886178861785,High
Brook Lopez,2015-16,0.272,0.6129654035445338,0.8252853380158034,0.1375394321766561,0.061150131694468805,High
Blake Griffin,2015-16,0.289,0.6075982160650728,0.6905120481927711,0.309924550203134,0.1083207831325301,High
LaMarcus Aldridge,2015-16,0.258,0.652164451772344,0.8528497409326425,0.2374202693125443,0.08829015544041449,High
Kevin Durant,2015-16,0.298,0.46828873966678186,0.549359457422758,0.1085028690662493,0.15772418990203466,High
Paul George,2015-16,0.296,0.45976542639058365,0.49573863636363635,0.1588366890380313,0.17649147727272727,High
Stephen Curry,2015-16,0.314,0.43330893376054025,0.40716019417475735,0.2066238260009886,0.20749393203883493,Moderate
Carmelo Anthony,2015-16,0.291,0.4585162203130603,0.5403624382207579,0.0931129476584022,0.16087314662273472,High
Kobe Bryant,2015-16,0.314,0.4374388925694759,0.4890756302521009,0.1043272080616478,0.1788235294117647,Moderate
Kawhi Leonard,2015-16,0.252,0.46539714513080677,0.4959713518352731,0.1746031746031746,0.17641002685765442,High
LeBron James,2015-16,0.305,0.3979901023948965,0.3838028169014084,0.1382463690155997,0.21566901408450706,Moderate
Jahlil Okafor,2015-16,0.272,0.4625368313491647,0.5945017182130584,0.0291921249151391,0.14192439862542955,High
Marreese Speights,2015-16,0.293,0.7214384042746675,0.9582504970178927,0.2697160883280757,0.02504970178926438,High
Jusuf Nurkić,2015-16,0.266,0.610099419052904,0.8828996282527881,0.0700132100396301,0.07026022304832713,High
Andrew Wiggins,2015-16,0.267,0.45626185395922236,0.5180180180180181,0.1177944862155388,0.1686936936936937,High
James Harden,2015-16,0.319,0.33497450264131795,0.28462029355456286,0.0963488843813387,0.25038289725590296,Low
Kyle Lowry,2015-16,0.256,0.39631692913385824,0.3503937007874015,0.18,0.22736220472440946,Moderate
