name,season,EFG_ISO_WEIGHTED,CREATION_TAX,CREATION_VOLUME_RATIO,RS_RIM_APPETITE,DEPENDENCE_SCORE,INEFFICIENT_VOLUME_SCORE,USG_PCT
Jordan Poole,2021-22,0.5368086785009861,-0.0471913214990138,0.4805687203791469,0.2013232514177693,0.4619667285458639,0.0132234312796208,0.252
D'Angelo Russell,2018-19,0.4816883561643836,-0.1013116438356163,0.7520927237604637,0.1588661832564271,0.2260868914633539,0.0236968783000643,0.311
Julius Randle,2020-21,0.4548193832599119,-0.136180616740088,0.5362204724409448,0.2006056018168054,0.3829811077074366,0.0302865236220472,0.285
Christian Wood,2020-21,0.4935115207373272,-0.1304884792626727,0.1888598781549173,0.378125,0.619425828422182,0.0091256266318537,0.255
Elfrid Payton,2018-19,0.4582786885245901,-0.0547213114754098,0.6304909560723514,0.4805825242718446,0.3545039128122197,0.0061067286821705,0.177
Kris Dunn,2017-18,0.4433754427390791,-0.5616245572609209,0.8167791706846672,0.2890855457227139,0.2416600870873049,0.112387193828351,0.245
Willy Hernangomez,2016-17,0.6456296296296296,0.0776296296296296,0.0551020408163265,0.6623655913978495,0.6640530949221795,0.0,0.19899999999999998
