PLAYER_ID,PLAYER_NAME,SEASON,PROJECTED_PLAYOFF_PERFORMANCE
201160,Jason Smith,2015-16,21.873128622633732
201162,Jared Dudley,2015-16,20.17935960772578
201166,Aaron Brooks,2015-16,23.25839160486165
201167,Arron Afflalo,2015-16,20.030672948421415
201168,Tiago Splitter,2015-16,23.461510008022053
201171,Carl Landry,2015-16,25.209634273724912
201177,Josh McRoberts,2015-16,21.1802810601145
201188,Marc Gasol,2015-16,21.826788556355446
201196,Ramon Sessions,2015-16,40.61445563175193
201202,Joel Anthony,2015-16,25.201657132514388
201228,C.J. Watson,2015-16,20.52984115897609
201229,Anthony Tolliver,2015-16,20.0
201563,Michael Beasley,2015-16,27.439994971917216
201564,O.J. Mayo,2015-16,21.091434433586482
201565,Derrick Rose,2015-16,20.372560382663867
201566,Russell Westbrook,2015-16,13.258489687759118
201567,Kevin Love,2015-16,21.16790685794667
201568,Danilo Gallinari,2015-16,34.34523201989529
201569,Eric Gordon,2015-16,23.951000768701363
201571,D.J. Augustin,2015-16,24.55424609156833
201572,Brook Lopez,2015-16,26.00114919595853
201573,Jerryd Bayless,2015-16,20.60675661648095
201574,Jason Thompson,2015-16,21.452743491857426
201575,Brandon Rush,2015-16,22.747629511485286
201577,Robin Lopez,2015-16,23.57718078207867
201578,Marreese Speights,2015-16,22.469476260848033
201579,Roy Hibbert,2015-16,21.725182095296976
201580,JaVale McGee,2015-16,20.0
201581,JJ Hickson,2015-16,21.53638361258317
201582,Alexis Ajinca,2015-16,20.805017152750384
201583,Ryan Anderson,2015-16,20.743256230806196
201584,Courtney Lee,2015-16,20.176178476376013
201585,Kosta Koufos,2015-16,26.273674735254353
201586,Serge Ibaka,2015-16,20.066138891388636
201587,Nicolas Batum,2015-16,20.178189270107282
201588,George Hill,2015-16,20.990032857774217
201589,Darrell Arthur,2015-16,20.012581837881495
201593,Nikola Pekovic,2015-16,21.940175061412898
201596,Mario Chalmers,2015-16,31.960174240523298
201599,DeAndre Jordan,2015-16,61.30987129789727
201600,Omer Asik,2015-16,22.92468140004484
201601,Luc Mbah a Moute,2015-16,21.174193889718897
201603,Sonny Weems,2015-16,21.0636042698871
201609,Goran Dragic,2015-16,21.070894724758073
201619,Sasha Kaun,2015-16,23.766481247111006
201627,Anthony Morrow,2015-16,23.6969942962343
201933,Blake Griffin,2015-16,21.98136665053209
201935,James Harden,2015-16,21.427597544610745
201936,Tyreke Evans,2015-16,22.6275598344114
201937,Ricky Rubio,2015-16,23.31858636758037
201939,Stephen Curry,2015-16,4.333389082904637
201941,Jordan Hill,2015-16,20.0
201942,DeMar DeRozan,2015-16,29.314778854248484
201943,Brandon Jennings,2015-16,21.362442398394542
201945,Gerald Henderson,2015-16,21.487914404969267
201946,Tyler Hansbrough,2015-16,21.07385548728707
201949,James Johnson,2015-16,22.980494331723904
