player,season,star_potential,king_probability,bulldozer_probability,sniper_probability,victim_probability,predicted_archetype,actual_archetype,AGE,current_usage,is_star_predicted,is_star_actual,rank
Vít Krejčí,2023-24,0.2609839066863059,0.0563102886080741,0.2046736180782318,0.0092597464099526,0.7297562956809998,Victim (Fragile Role),,24.0,0.098,False,,1
Grant Riller,2020-21,0.24288026988506312,0.0882471352815628,0.1546331346035003,0.0116868270561099,0.7454328536987305,Victim (Fragile Role),,24.0,0.22,False,,2
Mario Hezonja,2015-16,0.2262330353260039,0.0773333609104156,0.1488996744155883,0.0131437676027417,0.7606231570243835,Victim (Fragile Role),,21.0,0.166,False,,3
Monte Morris,2017-18,0.22453641146421421,0.1077203750610351,0.1168160364031791,0.014565235003829,0.7608984112739563,Victim (Fragile Role),,23.0,0.136,False,,4
Naz Reid,2022-23,0.2207183241844176,0.065701812505722,0.1550165116786956,0.0128648448735475,0.7664168477058411,Victim (Fragile Role),,23.0,0.242,False,,5
Zion Williamson,2022-23,0.2185159362852573,0.0537225492298603,0.164793387055397,0.0197268426418304,0.7617572546005249,Victim (Fragile Role),,22.0,0.288,False,,6
Troy Brown Jr.,2023-24,0.2161752805113792,0.0830098763108253,0.1331654042005539,0.0141085581853985,0.7697161436080933,Victim (Fragile Role),,24.0,0.139,False,,7
Isaiah Roby,2021-22,0.2145805321633815,0.0624887458980083,0.1520917862653732,0.021307460963726,0.7641119956970215,Victim (Fragile Role),,24.0,0.185,False,,8
Jahmir Young,2024-25,0.2079842314124107,0.0724743232131004,0.1355099081993103,0.0079510733485221,0.7840647101402283,Victim (Fragile Role),,24.0,0.092,False,,9
Jaime Jaquez Jr.,2024-25,0.2077910602092742,0.0979604125022888,0.1098306477069854,0.0146754710003733,0.7775334715843201,Victim (Fragile Role),,24.0,0.194,False,,10
Sterling Brown,2018-19,0.2075065597891807,0.0711539909243583,0.1363525688648224,0.012428362853825,0.78006511926651,Victim (Fragile Role),,24.0,0.149,False,,11
Demetrius Jackson,2017-18,0.2074039354920387,0.0881461501121521,0.1192577853798866,0.0148870274424552,0.7777090668678284,Victim (Fragile Role),,23.0,0.156,False,,12
Mitchell Robinson,2019-20,0.2056808099150656,0.0299448147416114,0.1757359951734542,0.0051572569645941,0.7891619205474854,Victim (Fragile Role),,22.0,0.129,False,,13
KZ Okpala,2019-20,0.2029298320412635,0.0870717838406562,0.1158580482006073,0.013661571778357,0.7834086418151855,Victim (Fragile Role),,21.0,0.102,False,,14
Jay Scrubb,2022-23,0.200696475803852,0.0699348226189613,0.1307616531848907,0.0076724691316485,0.7916310429573059,Victim (Fragile Role),,22.0,0.151,False,,15
Louis King,2022-23,0.19594866037368758,0.0700054764747619,0.1259431838989257,0.0086596058681607,0.7953916788101196,Victim (Fragile Role),,24.0,0.205,False,,16
Keldon Johnson,2019-20,0.19594866037368758,0.0700054764747619,0.1259431838989257,0.0086596058681607,0.7953916788101196,Victim (Fragile Role),,20.0,0.164,False,,17
Anfernee Simons,2021-22,0.1903024017810821,0.0524825900793075,0.1378198117017746,0.0074338419362902,0.8022637963294983,Victim (Fragile Role),,23.0,0.244,False,,18
Brandin Podziemski,2023-24,0.1895965263247489,0.0555531755089759,0.134043350815773,0.0091642634943127,0.8012392520904541,Victim (Fragile Role),,21.0,0.149,False,,19
Daniel Hamilton,2017-18,0.18895503878593428,0.0787136331200599,0.1102414056658744,0.0110450843349099,0.7999999523162842,Victim (Fragile Role),,22.0,0.2,False,,20
Lester Quinones,2022-23,0.1859452724456786,0.0712254792451858,0.1147197932004928,0.0078140655532479,0.8062406778335571,Victim (Fragile Role),,22.0,0.283,False,,21
Terry Taylor,2021-22,0.1837888360023498,0.0557112693786621,0.1280775666236877,0.0160616710782051,0.8001495003700256,Victim (Fragile Role),,22.0,0.151,False,,22
Jamaree Bouyea,2022-23,0.18220426887273777,0.0759014561772346,0.1063028126955032,0.0106504820287227,0.8071452379226685,Victim (Fragile Role),,24.0,0.12,False,,23
Isaiah Livers,2021-22,0.18187898024916638,0.0542601607739925,0.1276188194751739,0.0089226253330707,0.8091984391212463,Victim (Fragile Role),,23.0,0.125,False,,24
Quinn Cook,2016-17,0.1801710128784178,0.0831999108195304,0.0969711020588874,0.0140516515821218,0.805777370929718,Victim (Fragile Role),,24.0,0.192,False,,25
Devin Robinson,2018-19,0.1785637885332107,0.063528873026371,0.1150349155068397,0.007835529744625,0.8136007189750671,Victim (Fragile Role),,24.0,0.176,False,,26
Wade Baldwin IV,2017-18,0.1781644597649574,0.088700994849205,0.0894634649157524,0.0101232742890715,0.8117122650146484,Victim (Fragile Role),,22.0,0.159,False,,27
