PLAYER_ID,PLAYER_NAME,SEASON,AGE,RS_USG_PCT,PREDICTED_ARCHETYPE,PREDICTED_STAR_LEVEL,KING_PROB,BULLDOZER_PROB,SNIPER_PROB,VICTIM_PROB,ACTUAL_BECAME_STAR,ACTUAL_MAX_FUTURE_USAGE,ACTUAL_FUTURE_STAR_SEASONS,ACTUAL_FUTURE_PLAYOFF_ARCHETYPE,HAS_FUTURE_DATA,PREDICTION_CATEGORY,CREATION_VOLUME_RATIO,CREATION_TAX,LEVERAGE_USG_DELTA,LEVERAGE_TS_DELTA,RS_PRESSURE_APPETITE,EFG_ISO_WEIGHTED
203912,C.J. Wilcox,2015-16,25.0,0.19,Victim (Fragile Role),0.0,0.0,0.0,0.039309457,0.96069056,False,0.14300000000000002,,,True,True Negative,0.2549019607843137,-0.2295384615384615,,,,0.3704615384615384
203946,Cameron Bairstow,2015-16,25.0,0.196,Victim (Fragile Role),0.3,0.0,0.0,0.013402156,0.98659784,False,,,,False,True Negative,0.1133333333333333,0.354,,,0.5225225225225225,0.667
1626166,Cameron Payne,2015-16,21.0,0.19899999999999998,Victim (Fragile Role),0.0,0.0,0.0,0.027371114,0.9726289,False,0.212,,,True,True Negative,0.6213592233009708,-0.03825,,,,0.47275
1626191,Chris McCullough,2015-16,21.0,0.158,Victim (Fragile Role),0.3,0.0,0.0,0.023723148,0.9762769,False,0.21899999999999997,,,True,True Negative,0.0246153846153846,0.52,,,0.4030837004405286,1.0
1626174,Christian Wood,2015-16,20.0,0.185,Victim (Fragile Role),0.3,0.0,0.0,0.023723148,0.9762769,False,0.247,,,True,True Negative,0.0242914979757085,0.512,,,0.5852090032154341,1.0
203921,Cleanthony Early,2015-16,25.0,0.147,Victim (Fragile Role),0.0,0.0,0.0,0.032811914,0.96718806,False,,,,False,True Negative,0.0350877192982456,-0.393,,,0.4255319148936171,0.0
1626146,Cliff Alexander,2015-16,20.0,0.134,Victim (Fragile Role),0.3,0.0,0.0,0.02698118,0.9730188,False,,,,False,True Negative,0.1150442477876106,0.5,,,0.8015873015873016,1.0
203469,Cody Zeller,2015-16,23.0,0.152,Victim (Fragile Role),0.0,0.0,0.0,0.0034481853,0.9965518,False,0.159,,,True,True Negative,0.0594965675057208,-0.3246923076923076,-0.065,0.188,0.7324414715719064,0.2673076923076923
203928,Cory Jefferson,2015-16,25.0,0.203,Victim (Fragile Role),0.0,0.0,0.0,0.025299096,0.9747009,False,,,,False,True Negative,0.0,-0.533,,,0.9057971014492754,0.0
202709,Cory Joseph,2015-16,24.0,0.166,Victim (Fragile Role),0.3,0.0,0.0,0.0060624876,0.9939375,False,0.179,,,True,True Negative,0.7601296596434359,-0.1040405117270788,-0.066,0.046,0.5804676753782668,0.4339594882729212
1626262,Coty Clarke,2015-16,23.0,0.357,Victim (Fragile Role),0.0,0.0,0.0,0.020891216,0.9791088,False,,,,False,True Negative,0.33,-1.5,,,0.4962406015037593,0.0
1626245,Cristiano Felicio,2015-16,23.0,0.135,Victim (Fragile Role),0.0,0.0,0.0,0.05715109,0.9428489,False,0.138,,,True,True Negative,0.0147783251231527,-0.597,,,0.5836909871244634,0.0
1626156,D'Angelo Russell,2015-16,20.0,0.23799999999999996,King (Resilient Star),0.5899816751480103,0.5771390199661255,0.0128426318988204,0.01104459,0.3989738,True,0.311,"2016-17, 2017-18, 2018-19",,True,False Negative,0.5993975903614458,-0.100318257956449,-0.0129999999999999,0.125,0.4941471571906354,0.448681742043551
203996,Damien Inglis,2015-16,21.0,0.149,Victim (Fragile Role),0.3,0.0,0.0,0.031522863,0.96847713,False,,,,False,True Negative,0.3199999999999999,-0.10275,,,0.3513513513513513,0.25025
1626199,Darrun Hilliard,2015-16,23.0,0.19,Victim (Fragile Role),0.0,0.0,0.0,0.03062276,0.9693772,False,0.191,,,True,True Negative,0.375494071146245,-0.1811368421052632,,,0.4492753623188406,0.3768631578947368
202326,DeMarcus Cousins,2015-16,25.0,0.3509999999999999,King (Resilient Star),0.6789734959602356,0.6688056588172913,0.010167812928557396,0.004934653,0.31609187,True,0.359,"2016-17, 2017-18, 2018-19",,True,True Positive,0.2222222222222222,-0.0878848920863309,0.03,-0.077,0.6257907542579076,0.4381151079136691
1626153,Delon Wright,2015-16,24.0,0.218,Victim (Fragile Role),0.3,0.0,0.0,0.03273623,0.96726376,False,0.172,,,True,True Negative,0.7877551020408163,0.1072072538860103,,,,0.5002072538860104
202682,Derrick Williams,2015-16,25.0,0.23,King (Resilient Star),0.6129624247550964,0.6056658625602722,0.007296533789485693,0.0067072622,0.38033032,False,0.175,,,True,True Negative,0.2837573385518591,-0.0944965517241379,-0.053,0.0649999999999999,0.5176803394625177,0.4395034482758621
1626164,Devin Booker,2015-16,19.0,0.228,Victim (Fragile Role),0.0,0.0,0.0,0.008767761,0.9912322,True,0.32,"2016-17, 2017-18, 2018-19",,True,False Negative,0.4735576923076923,-0.1507893401015227,-0.038,-0.024,0.5591586327782647,0.4262106598984772
203906,Devyn Marble,2015-16,23.0,0.153,Victim (Fragile Role),0.3,0.0,0.0,0.0019285962,0.99807143,False,,,,False,True Negative,0.1396648044692737,0.2219999999999999,,,0.4094488188976378,0.571
203079,Dion Waiters,2015-16,24.0,0.17299999999999996,Victim (Fragile Role),0.0,0.0,0.0,0.0147270905,0.9852729,True,0.26,2016-17,,True,False Negative,0.5500747384155455,-0.1749239130434782,-0.0889999999999999,-0.129,0.4718232044198894,0.3870760869565218
202700,Donatas Motiejunas,2015-16,25.0,0.214,Victim (Fragile Role),0.3,0.0,0.0,0.005367284,0.9946327,True,0.32300000000000006,2018-19,,True,False Negative,0.1411483253588517,-0.121,,,0.5369369369369369,0.364
203926,Doug McDermott,2015-16,24.0,0.166,Victim (Fragile Role),0.0,0.0,0.0,0.0133135775,0.9866864,False,0.162,,,True,True Negative,0.099437148217636,-0.1562452830188679,-0.075,-0.01,0.4654088050314465,0.429754716981132
1626251,Duje Dukan,2015-16,24.0,0.154,Victim (Fragile Role),0.0,0.0,0.0,0.03785814,0.9621419,False,,,,False,True Negative,0.125,-0.429,,,0.2,0.0
