PLAYER_ID,PLAYER_NAME,SEASON,ACTUAL_EFG,EXPECTED_EFG,RS_CONTEXT_ADJUSTMENT
708,Kevin Garnett,2015-16,0.46955298013245034,0.46975,-0.00019701986754966372
977,Kobe Bryant,2015-16,0.41744457617071723,0.417414,3.057617071722252e-05
1495,Tim Duncan,2015-16,0.4877275242047026,0.487722,5.524204702622715e-06
1713,Vince Carter,2015-16,0.4737972027972027,0.47376776776776774,2.9435029434976556e-05
1717,Dirk Nowitzki,2015-16,0.5042199730094468,0.504212,7.973009446771151e-06
1718,Paul Pierce,2015-16,0.4573441780821918,0.457324,2.0178082191790736e-05
1737,Nazr Mohammed,2015-16,0.6000000000000001,0.6000000000000001,0.0
1882,Elton Brand,2015-16,0.4301702127659575,0.430253,-8.278723404248067e-05
1889,Andre Miller,2015-16,0.5665535055350553,0.56612,0.0004335055350553896
1891,Jason Terry,2015-16,0.5250076481835564,0.524985,2.2648183556350787e-05
1897,Metta World Peace,2015-16,0.3844237623762377,0.384342,8.176237623769289e-05
1938,Manu Ginobili,2015-16,0.5344812834224599,0.5344444444444444,3.6838978015540924e-05
2034,Mike Miller,2015-16,0.5090151515151513,0.508386,0.000629151515151305
2037,Jamal Crawford,2015-16,0.46551727042965463,0.46553200000000006,-1.4729570345428655e-05
2199,Tyson Chandler,2015-16,0.5824411764705882,0.5826856856856857,-0.0002445092150974437
2200,Pau Gasol,2015-16,0.4813610709117222,0.48132900000000006,3.2070911722137385e-05
2207,Joe Johnson,2015-16,0.5083597733711048,0.5083313313313313,2.84420397734797e-05
2210,Richard Jefferson,2015-16,0.5639002375296912,0.5640809190809191,-0.000180681551227857
2216,Zach Randolph,2015-16,0.47854872563718137,0.47855500000000006,-6.274362818692314e-06
2225,Tony Parker,2015-16,0.512104462474645,0.512011,9.34624746450341e-05
2365,Chris Andersen,2015-16,0.5551647940074905,0.555285,-0.00012020599250950337
2399,Mike Dunleavy,2015-16,0.513184818481848,0.5131928071928071,-7.988710959083711e-06
2400,Drew Gooden,2015-16,0.3544186046511628,0.354564,-0.00014539534883717398
2403,Nene,2015-16,0.5445955555555555,0.544635,-3.944444444448081e-05
2405,Amar'e Stoudemire,2015-16,0.5656173708920188,0.565506,0.0001113708920188472
2406,Caron Butler,2015-16,0.44937940379403796,0.449268,0.00011140379403795642
2419,Tayshaun Prince,2015-16,0.4562027027027027,0.45612199999999997,8.07027027027174e-05
2440,Matt Barnes,2015-16,0.46703293084522507,0.466876,0.00015693084522505618
2446,Rasual Butler,2015-16,0.5437433628318584,0.54366,8.336283185839122e-05
2449,Luis Scola,2015-16,0.50187166454892,0.5018271728271729,4.4491721747030866e-05
2544,LeBron James,2015-16,0.5517175901022054,0.5516936936936937,2.389640851174768e-05
2546,Carmelo Anthony,2015-16,0.47384077134986236,0.47383200000000003,8.771349862324307e-06
2547,Chris Bosh,2015-16,0.5197270214236351,0.5197082917082916,1.8729715343557274e-05
2548,Dwyane Wade,2015-16,0.4594984365228268,0.45950500000000005,-6.563477173260335e-06
2549,Chris Kaman,2015-16,0.4765278810408922,0.476703,-0.00017511895910776731
2550,Kirk Hinrich,2015-16,0.47249466192170814,0.472852,-0.0003573380782918578
2555,Nick Collison,2015-16,0.4582934782608697,0.45849000000000006,-0.00019652173913037307
2561,David West,2015-16,0.5483647469458988,0.548349,1.574694589878689e-05
2563,Dahntay Jones,2015-16,0.46414285714285713,0.4641428571428572,-5.551115123125783e-17
2564,Boris Diaw,2015-16,0.5599146825396825,0.559688,0.00022668253968249896
2570,Kendrick Perkins,2015-16,0.5340198019801979,0.5335645645645646,0.0004552374156333583
2571,Leandro Barbosa,2015-16,0.5146838235294118,0.514636,4.7823529411794574e-05
2581,Steve Blake,2015-16,0.49816707021791773,0.49826826826826826,-0.00010119805035052609
2585,Zaza Pachulia,2015-16,0.4660565428109854,0.46602000000000005,3.654281098536272e-05
2588,Matt Bonner,2015-16,0.6407473684210526,0.6407519999999999,-4.6315789472561875e-06
2590,Mo Williams,2015-16,0.49676390773405693,0.4969860000000001,-0.00022209226594316345
2592,James Jones,2015-16,0.552942760942761,0.5531001001001001,-0.0001573391573391758
2594,Kyle Korver,2015-16,0.5625979247730221,0.5625004995004994,9.742527252265543e-05
2617,Udonis Haslem,2015-16,0.3870666666666666,0.385403,0.0016636666666666189
2730,Dwight Howard,2015-16,0.6200556213017753,0.619995,6.062130177530989e-05
2733,Shaun Livingston,2015-16,0.5380288065843623,0.538042,-1.319341563776888e-05
2734,Devin Harris,2015-16,0.5148241379310345,0.514939,-0.00011486206896549334
2736,Luol Deng,2015-16,0.5140575968222443,0.514054,3.5968222442672726e-06
2738,Andre Iguodala,2015-16,0.5515671378091873,0.5515019999999999,6.513780918737666e-05
2743,Kris Humphries,2015-16,0.4678273381294965,0.4677877877877878,3.9550341708716186e-05
2744,Al Jefferson,2015-16,0.4850530726256983,0.48498700000000006,6.607262569824357e-05
2746,Josh Smith,2015-16,0.4225457413249211,0.4225104895104895,3.5251814431647155e-05
2747,JR Smith,2015-16,0.5349310344827587,0.535021978021978,-9.094353921934584e-05
2749,Jameer Nelson,2015-16,0.4381802030456853,0.43823823823823826,-5.803519255298539e-05
2754,Tony Allen,2015-16,0.47470668485675305,0.47475500000000004,-4.831514324699082e-05
2755,Kevin Martin,2015-16,0.43099212598425196,0.430944,4.812598425196768e-05
2756,Sasha Vujacic,2015-16,0.47464017660044144,0.4748078078078078,-0.00016763120736634773
2757,Beno Udrih,2015-16,0.47239111111111104,0.472075924075924,0.0003151870351870145
